permit_number,issue_date,work_type,project_name,description,address,city,zip_code,owner_name,contractor,contractor_phone,estimated_cost,status,council_district
NSH251110011,2025-11-16,RESIDENTIAL,Residential Project,RESIDENTIAL at 9551 Broadway,9551 Broadway,Nashville,37212,Williams Ventures,Green Hills Builders,(615) 882-5980,97331,PENDING,3
NSH251010012,2025-10-31,REMODEL,Remodel Project,REMODEL at 2430 Murfreesboro Pike,2430 Murfreesboro Pike,Nashville,37212,Johnson Properties,Nashville Builders LLC,(615) 927-8330,109469,FINAL,7
NSH251110013,2025-11-24,REMODEL,Remodel Project,REMODEL at 560 Lebanon Pike,560 Lebanon Pike,Nashville,37212,Smith Development LLC,Franklin Construction,(615) 740-3898,140029,APPROVED,20
NSH251010014,2025-10-30,ELECTRICAL,Electrical Project,ELECTRICAL at 8380 Dickerson Pike,8380 Dickerson Pike,Nashville,37205,Davis Investments,Music City Construction,(615) 279-4060,12400,ISSUED,5
NSH251010015,2025-10-31,REPAIR,Repair Project,REPAIR at 6116 Murfreesboro Pike,6116 Murfreesboro Pike,Nashville,37206,Johnson Properties,N/A,(615) 746-2337,75671,ISSUED,33
NSH251110016,2025-11-01,ELECTRICAL,Electrical Project,ELECTRICAL at 3172 Broadway,3172 Broadway,Nashville,37211,Davis Investments,Nashville Home Improvement,(615) 825-6459,23782,PENDING,21
NSH251110017,2025-11-02,REPAIR,Repair Project,REPAIR at 1120 Woodland St,1120 Woodland St,Nashville,37201,Anderson Group,Tennessee Premier Builders,(615) 841-1316,29388,ISSUED,20
NSH251110018,2025-11-25,MECHANICAL,Mechanical Project,MECHANICAL at 8067 West End Ave,8067 West End Ave,Nashville,37205,Brown Holdings,Music City Construction,(615) 719-4062,28950,PENDING,7
NSH251110019,2025-11-12,ROOFING,Roofing Project,ROOFING at 7965 Broadway,7965 Broadway,Nashville,37209,Wilson Properties,East Nashville Construction,(615) 321-7208,36763,APPROVED,7
NSH251110020,2025-11-24,PLUMBING,Plumbing Project,PLUMBING at 4125 Nolensville Pike,4125 Nolensville Pike,Nashville,37212,Thomas Enterprises,Franklin Construction,N/A,22655,APPROVED,3
NSH251110021,2025-11-26,ALTERATION,Alteration Project,ALTERATION at 2309 Franklin Pike,2309 Franklin Pike,Nashville,37204,Smith Development LLC,N/A,N/A,59494,ISSUED,6
NSH251110022,2025-11-25,REPAIR,Repair Project,REPAIR at 5040 21st Ave,5040 21st Ave,Nashville,37208,Smith Development LLC,Brentwood Builders Inc,(615) 906-2837,58666,PENDING,19
NSH251110023,2025-11-05,DEMOLITION,Demolition Project,DEMOLITION at 1876 Dickerson Pike,1876 Dickerson Pike,Nashville,37206,Davis Investments,N/A,(615) 603-4585,36782,APPROVED,35
NSH251110024,2025-11-15,ADDITION,Addition Project,ADDITION at 1593 Broadway,1593 Broadway,Nashville,37212,Johnson Properties,Green Hills Builders,N/A,210417,PENDING,20
NSH251110025,2025-11-13,ROOFING,Roofing Project,ROOFING at 1990 Lebanon Pike,1990 Lebanon Pike,Nashville,37215,Brown Holdings,N/A,(615) 362-7679,21308,APPROVED,2
NSH251110026,2025-11-25,ROOFING,Roofing Project,ROOFING at 9084 Franklin Pike,9084 Franklin Pike,Nashville,37215,Wilson Properties,Volunteer State Contractors,N/A,72321,FINAL,20
NSH251110027,2025-11-19,REPAIR,Repair Project,REPAIR at 3587 Charlotte Ave,3587 Charlotte Ave,Nashville,37201,Martinez LLC,Volunteer State Contractors,(615) 685-5795,89873,ISSUED,5
NSH251110028,2025-11-28,COMMERCIAL,Commercial Project,COMMERCIAL at 4239 Murfreesboro Pike,4239 Murfreesboro Pike,Nashville,37208,Johnson Properties,N/A,(615) 348-1769,839431,FINAL,22
NSH251110029,2025-11-05,MECHANICAL,Mechanical Project,MECHANICAL at 6904 Franklin Pike,6904 Franklin Pike,Nashville,37212,Brown Holdings,Green Hills Builders,(615) 525-7585,85034,PENDING,6
NSH251110030,2025-11-24,COMMERCIAL,Commercial Project,COMMERCIAL at 9394 Broadway,9394 Broadway,Nashville,37204,Martinez LLC,N/A,(615) 548-1872,1038668,APPROVED,22
NSH251110031,2025-11-02,MECHANICAL,Mechanical Project,MECHANICAL at 7119 Broadway,7119 Broadway,Nashville,37206,Johnson Properties,Brentwood Builders Inc,N/A,14422,ISSUED,1
NSH251110032,2025-11-23,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 6393 Murfreesboro Pike,6393 Murfreesboro Pike,Nashville,37201,Anderson Group,N/A,(615) 636-8664,1690329,ISSUED,4
NSH251110033,2025-11-27,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 9357 21st Ave,9357 21st Ave,Nashville,37201,Davis Investments,Green Hills Builders,(615) 793-1179,1987546,ISSUED,20
NSH251110034,2025-11-13,ADDITION,Addition Project,ADDITION at 4554 Dickerson Pike,4554 Dickerson Pike,Nashville,37215,Thomas Enterprises,Volunteer State Contractors,(615) 910-7133,282954,ISSUED,33
NSH251110035,2025-11-26,REMODEL,Remodel Project,REMODEL at 8387 Charlotte Ave,8387 Charlotte Ave,Nashville,37211,Thomas Enterprises,Green Hills Builders,(615) 871-4363,227355,FINAL,7
NSH251110036,2025-11-07,MECHANICAL,Mechanical Project,MECHANICAL at 333 West End Ave,333 West End Ave,Nashville,37215,Davis Investments,Music City Construction,(615) 756-9329,66612,ISSUED,6
NSH251110037,2025-11-24,ROOFING,Roofing Project,ROOFING at 9758 Broadway,9758 Broadway,Nashville,37203,Davis Investments,Franklin Construction,N/A,95565,PENDING,19
NSH251110038,2025-11-17,ALTERATION,Alteration Project,ALTERATION at 7679 Church St,7679 Church St,Nashville,37212,Anderson Group,Cumberland Construction Co,(615) 438-2819,84085,PENDING,20
NSH251110039,2025-11-01,PLUMBING,Plumbing Project,PLUMBING at 8248 Lebanon Pike,8248 Lebanon Pike,Nashville,37211,Johnson Properties,Green Hills Builders,N/A,59131,ISSUED,20
NSH251110040,2025-11-02,RESIDENTIAL,Residential Project,RESIDENTIAL at 9048 Nolensville Pike,9048 Nolensville Pike,Nashville,37215,Miller Construction,Green Hills Builders,(615) 780-9203,37471,FINAL,4
NSH251110041,2025-11-02,MECHANICAL,Mechanical Project,MECHANICAL at 8704 Lebanon Pike,8704 Lebanon Pike,Nashville,37201,Johnson Properties,Tennessee Premier Builders,N/A,21654,ISSUED,2
NSH251110042,2025-11-04,MECHANICAL,Mechanical Project,MECHANICAL at 7965 Broadway,7965 Broadway,Nashville,37201,Martinez LLC,Green Hills Builders,(615) 717-1608,78349,PENDING,33
NSH251110043,2025-11-26,PLUMBING,Plumbing Project,PLUMBING at 3336 Charlotte Ave,3336 Charlotte Ave,Nashville,37204,Wilson Properties,Cumberland Construction Co,(615) 618-6439,58177,ISSUED,3
NSH251110044,2025-11-28,ALTERATION,Alteration Project,ALTERATION at 9888 Nolensville Pike,9888 Nolensville Pike,Nashville,37211,Brown Holdings,Volunteer State Contractors,(615) 621-8626,79397,FINAL,3
NSH251110045,2025-11-17,PLUMBING,Plumbing Project,PLUMBING at 3944 Nolensville Pike,3944 Nolensville Pike,Nashville,37204,Davis Investments,Music City Construction,(615) 372-7197,91284,PENDING,22
NSH251110046,2025-11-16,REPAIR,Repair Project,REPAIR at 2671 Broadway,2671 Broadway,Nashville,37211,Brown Holdings,Green Hills Builders,(615) 202-4208,42801,FINAL,20
NSH251110047,2025-11-06,ALTERATION,Alteration Project,ALTERATION at 5977 Hillsboro Pike,5977 Hillsboro Pike,Nashville,37209,Thomas Enterprises,Green Hills Builders,(615) 600-7955,20896,ISSUED,1
NSH251110048,2025-11-03,ELECTRICAL,Electrical Project,ELECTRICAL at 5896 Murfreesboro Pike,5896 Murfreesboro Pike,Nashville,37212,Smith Development LLC,Music City Construction,N/A,37760,ISSUED,4
NSH251010049,2025-10-30,ALTERATION,Alteration Project,ALTERATION at 7116 21st Ave,7116 21st Ave,Nashville,37211,Smith Development LLC,Music City Construction,(615) 680-3227,46004,PENDING,3
NSH251110050,2025-11-28,DEMOLITION,Demolition Project,DEMOLITION at 8461 Church St,8461 Church St,Nashville,37211,Anderson Group,East Nashville Construction,(615) 738-6364,74534,FINAL,35
NSH251110051,2025-11-08,COMMERCIAL,Commercial Project,COMMERCIAL at 7728 Hillsboro Pike,7728 Hillsboro Pike,Nashville,37215,Brown Holdings,Green Hills Builders,(615) 481-2006,304678,ISSUED,20
NSH251110052,2025-11-10,DEMOLITION,Demolition Project,DEMOLITION at 8450 Church St,8450 Church St,Nashville,37204,Smith Development LLC,Franklin Construction,N/A,25779,ISSUED,22
NSH251110053,2025-11-19,PLUMBING,Plumbing Project,PLUMBING at 143 West End Ave,143 West End Ave,Nashville,37215,Miller Construction,Tennessee Premier Builders,(615) 825-5600,98757,APPROVED,21
NSH251110054,2025-11-27,ALTERATION,Alteration Project,ALTERATION at 2931 Franklin Pike,2931 Franklin Pike,Nashville,37204,Johnson Properties,East Nashville Construction,(615) 791-5641,24649,APPROVED,34
NSH251110055,2025-11-19,COMMERCIAL,Commercial Project,COMMERCIAL at 6641 Broadway,6641 Broadway,Nashville,37209,Smith Development LLC,Cumberland Construction Co,(615) 616-3697,1242029,ISSUED,6
NSH251110056,2025-11-06,ALTERATION,Alteration Project,ALTERATION at 5167 Broadway,5167 Broadway,Nashville,37205,Brown Holdings,Cumberland Construction Co,N/A,87934,FINAL,34
NSH251110057,2025-11-05,ROOFING,Roofing Project,ROOFING at 2944 Hillsboro Pike,2944 Hillsboro Pike,Nashville,37212,Williams Ventures,Franklin Construction,N/A,90637,FINAL,2
NSH251110058,2025-11-19,REPAIR,Repair Project,REPAIR at 5958 Franklin Pike,5958 Franklin Pike,Nashville,37212,Anderson Group,Brentwood Builders Inc,(615) 307-5109,10533,APPROVED,19
NSH251110059,2025-11-21,MECHANICAL,Mechanical Project,MECHANICAL at 6361 Charlotte Ave,6361 Charlotte Ave,Nashville,37201,Williams Ventures,N/A,(615) 409-7917,8470,PENDING,35
NSH251110060,2025-11-03,DEMOLITION,Demolition Project,DEMOLITION at 548 Broadway,548 Broadway,Nashville,37206,Brown Holdings,Nashville Builders LLC,(615) 876-1123,61281,FINAL,22
NSH251110061,2025-11-19,REMODEL,Remodel Project,REMODEL at 6969 Hillsboro Pike,6969 Hillsboro Pike,Nashville,37205,Williams Ventures,Music City Construction,(615) 337-7198,368570,ISSUED,20
NSH251110062,2025-11-02,REMODEL,Remodel Project,REMODEL at 3941 Church St,3941 Church St,Nashville,37215,Davis Investments,East Nashville Construction,(615) 588-7504,340985,ISSUED,21
NSH251110063,2025-11-06,ALTERATION,Alteration Project,ALTERATION at 7171 Nolensville Pike,7171 Nolensville Pike,Nashville,37205,Anderson Group,Volunteer State Contractors,(615) 850-2873,48788,FINAL,3
NSH251110064,2025-11-21,PLUMBING,Plumbing Project,PLUMBING at 4358 Charlotte Ave,4358 Charlotte Ave,Nashville,37208,Martinez LLC,Green Hills Builders,N/A,35249,FINAL,35
NSH251110065,2025-11-13,PLUMBING,Plumbing Project,PLUMBING at 2812 Charlotte Ave,2812 Charlotte Ave,Nashville,37201,Johnson Properties,Franklin Construction,(615) 603-7132,12613,APPROVED,3
NSH251110066,2025-11-08,DEMOLITION,Demolition Project,DEMOLITION at 3484 Charlotte Ave,3484 Charlotte Ave,Nashville,37203,Martinez LLC,N/A,(615) 593-4365,9518,ISSUED,34
NSH251110067,2025-11-18,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 2119 Murfreesboro Pike,2119 Murfreesboro Pike,Nashville,37205,Thomas Enterprises,Nashville Builders LLC,(615) 403-2737,1486343,APPROVED,2
NSH251110068,2025-11-10,ROOFING,Roofing Project,ROOFING at 8189 Woodland St,8189 Woodland St,Nashville,37204,Williams Ventures,N/A,(615) 570-8467,40110,FINAL,7
NSH251110069,2025-11-24,MECHANICAL,Mechanical Project,MECHANICAL at 6232 Dickerson Pike,6232 Dickerson Pike,Nashville,37206,Brown Holdings,Nashville Builders LLC,(615) 581-5441,56146,FINAL,7
NSH251010070,2025-10-29,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 6775 Church St,6775 Church St,Nashville,37204,Smith Development LLC,East Nashville Construction,N/A,755979,ISSUED,22
NSH251110071,2025-11-17,ADDITION,Addition Project,ADDITION at 8673 Franklin Pike,8673 Franklin Pike,Nashville,37211,Smith Development LLC,Volunteer State Contractors,(615) 220-4044,278988,PENDING,33
NSH251110072,2025-11-13,DEMOLITION,Demolition Project,DEMOLITION at 7611 Charlotte Ave,7611 Charlotte Ave,Nashville,37211,Wilson Properties,Tennessee Premier Builders,(615) 530-7181,6046,PENDING,6
NSH251110073,2025-11-11,RESIDENTIAL,Residential Project,RESIDENTIAL at 2759 Lebanon Pike,2759 Lebanon Pike,Nashville,37215,Anderson Group,Cumberland Construction Co,N/A,54257,ISSUED,22
NSH251110074,2025-11-06,COMMERCIAL,Commercial Project,COMMERCIAL at 5302 Woodland St,5302 Woodland St,Nashville,37209,Martinez LLC,Green Hills Builders,(615) 655-9126,1553686,APPROVED,35
NSH251110075,2025-11-04,ALTERATION,Alteration Project,ALTERATION at 7712 West End Ave,7712 West End Ave,Nashville,37208,Anderson Group,East Nashville Construction,(615) 442-1697,94870,PENDING,20
NSH251110076,2025-11-11,REMODEL,Remodel Project,REMODEL at 4081 21st Ave,4081 21st Ave,Nashville,37208,Miller Construction,N/A,(615) 657-4198,288008,FINAL,2
NSH251110077,2025-11-04,COMMERCIAL,Commercial Project,COMMERCIAL at 2579 Dickerson Pike,2579 Dickerson Pike,Nashville,37206,Wilson Properties,N/A,N/A,1337538,FINAL,19
NSH251110078,2025-11-13,ROOFING,Roofing Project,ROOFING at 1748 Hillsboro Pike,1748 Hillsboro Pike,Nashville,37211,Thomas Enterprises,N/A,(615) 798-8084,69012,FINAL,33
NSH251010079,2025-10-30,MECHANICAL,Mechanical Project,MECHANICAL at 4804 21st Ave,4804 21st Ave,Nashville,37206,Brown Holdings,Franklin Construction,(615) 224-1256,85821,APPROVED,4
NSH251110080,2025-11-05,MECHANICAL,Mechanical Project,MECHANICAL at 3847 Nolensville Pike,3847 Nolensville Pike,Nashville,37209,Thomas Enterprises,Green Hills Builders,N/A,26832,ISSUED,21
NSH251110081,2025-11-18,MECHANICAL,Mechanical Project,MECHANICAL at 5343 Charlotte Ave,5343 Charlotte Ave,Nashville,37215,Martinez LLC,Tennessee Premier Builders,N/A,57977,FINAL,2
NSH251110082,2025-11-13,ALTERATION,Alteration Project,ALTERATION at 8185 Nolensville Pike,8185 Nolensville Pike,Nashville,37203,Williams Ventures,Nashville Home Improvement,(615) 721-7465,66685,FINAL,2
NSH251110083,2025-11-26,COMMERCIAL,Commercial Project,COMMERCIAL at 7349 Dickerson Pike,7349 Dickerson Pike,Nashville,37215,Anderson Group,N/A,(615) 859-1496,711936,PENDING,33
NSH251010084,2025-10-30,RESIDENTIAL,Residential Project,RESIDENTIAL at 3623 Woodland St,3623 Woodland St,Nashville,37203,Brown Holdings,Brentwood Builders Inc,N/A,63608,FINAL,22
NSH251110085,2025-11-17,PLUMBING,Plumbing Project,PLUMBING at 7865 Hillsboro Pike,7865 Hillsboro Pike,Nashville,37209,Smith Development LLC,Volunteer State Contractors,(615) 879-6582,83562,FINAL,22
NSH251110086,2025-11-19,REMODEL,Remodel Project,REMODEL at 3068 Broadway,3068 Broadway,Nashville,37203,Johnson Properties,Green Hills Builders,N/A,61383,PENDING,35
NSH251110087,2025-11-04,ALTERATION,Alteration Project,ALTERATION at 9819 Franklin Pike,9819 Franklin Pike,Nashville,37206,Davis Investments,Cumberland Construction Co,(615) 270-2222,26354,APPROVED,20
NSH251110088,2025-11-14,ELECTRICAL,Electrical Project,ELECTRICAL at 7621 West End Ave,7621 West End Ave,Nashville,37212,Thomas Enterprises,Nashville Home Improvement,N/A,54422,FINAL,7
NSH251110089,2025-11-27,REMODEL,Remodel Project,REMODEL at 8891 Woodland St,8891 Woodland St,Nashville,37211,Johnson Properties,Music City Construction,(615) 361-6399,456874,FINAL,21
NSH251110090,2025-11-06,MECHANICAL,Mechanical Project,MECHANICAL at 2630 Broadway,2630 Broadway,Nashville,37203,Miller Construction,Cumberland Construction Co,(615) 447-2458,10909,APPROVED,5
NSH251110091,2025-11-20,RESIDENTIAL,Residential Project,RESIDENTIAL at 6705 Dickerson Pike,6705 Dickerson Pike,Nashville,37203,Brown Holdings,Nashville Home Improvement,(615) 559-4886,66147,ISSUED,34
NSH251110092,2025-11-24,COMMERCIAL,Commercial Project,COMMERCIAL at 6728 21st Ave,6728 21st Ave,Nashville,37201,Williams Ventures,East Nashville Construction,(615) 828-8028,357304,FINAL,3
NSH251110093,2025-11-11,ADDITION,Addition Project,ADDITION at 9929 West End Ave,9929 West End Ave,Nashville,37211,Davis Investments,Nashville Builders LLC,(615) 734-2239,498078,ISSUED,1
NSH251010094,2025-10-29,ALTERATION,Alteration Project,ALTERATION at 1273 Broadway,1273 Broadway,Nashville,37206,Wilson Properties,Franklin Construction,(615) 646-2853,62134,FINAL,33
NSH251110095,2025-11-08,REMODEL,Remodel Project,REMODEL at 6121 Woodland St,6121 Woodland St,Nashville,37209,Williams Ventures,Nashville Builders LLC,N/A,461871,APPROVED,34
NSH251110096,2025-11-02,ALTERATION,Alteration Project,ALTERATION at 5528 Franklin Pike,5528 Franklin Pike,Nashville,37208,Thomas Enterprises,Nashville Home Improvement,N/A,42729,FINAL,33
NSH251110097,2025-11-06,REMODEL,Remodel Project,REMODEL at 7226 21st Ave,7226 21st Ave,Nashville,37215,Thomas Enterprises,Music City Construction,(615) 649-4199,187622,ISSUED,20
NSH251110098,2025-11-11,REPAIR,Repair Project,REPAIR at 4975 Church St,4975 Church St,Nashville,37206,Brown Holdings,Cumberland Construction Co,(615) 214-6704,95807,FINAL,19
NSH251110099,2025-11-14,REMODEL,Remodel Project,REMODEL at 232 Church St,232 Church St,Nashville,37212,Wilson Properties,Franklin Construction,(615) 870-1133,182239,ISSUED,33
NSH251110100,2025-11-17,ROOFING,Roofing Project,ROOFING at 3288 21st Ave,3288 21st Ave,Nashville,37208,Wilson Properties,Nashville Home Improvement,(615) 366-9129,26487,APPROVED,6
NSH251110101,2025-11-27,REMODEL,Remodel Project,REMODEL at 7286 Lebanon Pike,7286 Lebanon Pike,Nashville,37211,Wilson Properties,Volunteer State Contractors,N/A,481822,FINAL,2
NSH251110102,2025-11-25,ADDITION,Addition Project,ADDITION at 1681 Hillsboro Pike,1681 Hillsboro Pike,Nashville,37212,Smith Development LLC,N/A,N/A,395262,PENDING,21
NSH251010103,2025-10-30,ROOFING,Roofing Project,ROOFING at 6163 Church St,6163 Church St,Nashville,37205,Martinez LLC,Franklin Construction,(615) 702-2358,73259,APPROVED,21
NSH251110104,2025-11-05,REMODEL,Remodel Project,REMODEL at 1631 Woodland St,1631 Woodland St,Nashville,37206,Anderson Group,N/A,(615) 769-8411,234901,FINAL,21
NSH251110105,2025-11-07,REPAIR,Repair Project,REPAIR at 489 Dickerson Pike,489 Dickerson Pike,Nashville,37206,Smith Development LLC,East Nashville Construction,(615) 342-7636,18595,PENDING,19
NSH251110106,2025-11-18,DEMOLITION,Demolition Project,DEMOLITION at 9162 Hillsboro Pike,9162 Hillsboro Pike,Nashville,37201,Miller Construction,Brentwood Builders Inc,(615) 595-1948,29011,FINAL,19
NSH251110107,2025-11-28,REMODEL,Remodel Project,REMODEL at 8953 Lebanon Pike,8953 Lebanon Pike,Nashville,37212,Thomas Enterprises,East Nashville Construction,(615) 308-4941,200253,APPROVED,20
NSH251110108,2025-11-17,COMMERCIAL,Commercial Project,COMMERCIAL at 1408 Franklin Pike,1408 Franklin Pike,Nashville,37205,Miller Construction,N/A,(615) 395-7127,1824505,PENDING,19
NSH251110109,2025-11-11,PLUMBING,Plumbing Project,PLUMBING at 2549 Franklin Pike,2549 Franklin Pike,Nashville,37205,Smith Development LLC,Nashville Builders LLC,(615) 206-9990,21940,ISSUED,35
NSH251110110,2025-11-19,REPAIR,Repair Project,REPAIR at 5165 Broadway,5165 Broadway,Nashville,37206,Johnson Properties,Franklin Construction,N/A,20799,ISSUED,6
NSH251110111,2025-11-17,ALTERATION,Alteration Project,ALTERATION at 4658 Franklin Pike,4658 Franklin Pike,Nashville,37204,Miller Construction,Cumberland Construction Co,(615) 212-9284,69755,PENDING,3
NSH251110112,2025-11-05,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 9903 West End Ave,9903 West End Ave,Nashville,37205,Davis Investments,Volunteer State Contractors,(615) 976-4903,1424211,PENDING,6
NSH251110113,2025-11-16,ELECTRICAL,Electrical Project,ELECTRICAL at 3588 Dickerson Pike,3588 Dickerson Pike,Nashville,37215,Smith Development LLC,Cumberland Construction Co,N/A,36617,FINAL,22
NSH251110114,2025-11-14,RESIDENTIAL,Residential Project,RESIDENTIAL at 8596 Franklin Pike,8596 Franklin Pike,Nashville,37201,Brown Holdings,Nashville Home Improvement,(615) 343-6637,22544,APPROVED,34
NSH251110115,2025-11-17,COMMERCIAL,Commercial Project,COMMERCIAL at 4526 21st Ave,4526 21st Ave,Nashville,37205,Anderson Group,N/A,(615) 229-9802,850808,ISSUED,20
NSH251110116,2025-11-05,DEMOLITION,Demolition Project,DEMOLITION at 4115 Broadway,4115 Broadway,Nashville,37211,Johnson Properties,N/A,(615) 501-4103,48443,ISSUED,5
NSH251010117,2025-10-29,ADDITION,Addition Project,ADDITION at 7507 Murfreesboro Pike,7507 Murfreesboro Pike,Nashville,37208,Wilson Properties,Brentwood Builders Inc,N/A,385063,ISSUED,33
NSH251110118,2025-11-04,ELECTRICAL,Electrical Project,ELECTRICAL at 5149 21st Ave,5149 21st Ave,Nashville,37203,Anderson Group,Tennessee Premier Builders,N/A,70066,FINAL,3
NSH251110119,2025-11-07,REMODEL,Remodel Project,REMODEL at 3809 West End Ave,3809 West End Ave,Nashville,37203,Anderson Group,Tennessee Premier Builders,N/A,466202,ISSUED,21
NSH251110120,2025-11-13,DEMOLITION,Demolition Project,DEMOLITION at 1955 West End Ave,1955 West End Ave,Nashville,37212,Anderson Group,N/A,N/A,25694,PENDING,6
NSH251110121,2025-11-18,ALTERATION,Alteration Project,ALTERATION at 9650 Murfreesboro Pike,9650 Murfreesboro Pike,Nashville,37215,Brown Holdings,Green Hills Builders,(615) 955-5232,53067,PENDING,5
NSH251110122,2025-11-13,ELECTRICAL,Electrical Project,ELECTRICAL at 4257 Charlotte Ave,4257 Charlotte Ave,Nashville,37208,Wilson Properties,Nashville Builders LLC,(615) 598-4336,77427,ISSUED,7
NSH251110123,2025-11-09,PLUMBING,Plumbing Project,PLUMBING at 3083 Dickerson Pike,3083 Dickerson Pike,Nashville,37201,Smith Development LLC,N/A,(615) 480-1624,31704,PENDING,20
NSH251110124,2025-11-06,ROOFING,Roofing Project,ROOFING at 1261 21st Ave,1261 21st Ave,Nashville,37212,Anderson Group,Tennessee Premier Builders,(615) 567-5957,53647,FINAL,19
NSH251110125,2025-11-13,REPAIR,Repair Project,REPAIR at 7699 West End Ave,7699 West End Ave,Nashville,37215,Williams Ventures,East Nashville Construction,(615) 434-8241,27413,ISSUED,5
NSH251110126,2025-11-23,REPAIR,Repair Project,REPAIR at 9736 Lebanon Pike,9736 Lebanon Pike,Nashville,37204,Davis Investments,Brentwood Builders Inc,(615) 365-1011,79827,PENDING,7
NSH251110127,2025-11-28,ROOFING,Roofing Project,ROOFING at 8634 Nolensville Pike,8634 Nolensville Pike,Nashville,37201,Anderson Group,N/A,(615) 431-1817,44907,APPROVED,34
NSH251110128,2025-11-07,COMMERCIAL,Commercial Project,COMMERCIAL at 3455 Broadway,3455 Broadway,Nashville,37208,Thomas Enterprises,N/A,N/A,431327,PENDING,1
NSH251110129,2025-11-22,ROOFING,Roofing Project,ROOFING at 689 Broadway,689 Broadway,Nashville,37205,Wilson Properties,Franklin Construction,(615) 513-7384,30202,APPROVED,2
NSH251110130,2025-11-10,ROOFING,Roofing Project,ROOFING at 1305 Dickerson Pike,1305 Dickerson Pike,Nashville,37201,Martinez LLC,N/A,(615) 474-5406,15675,FINAL,6
NSH251110131,2025-11-28,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 832 Franklin Pike,832 Franklin Pike,Nashville,37215,Johnson Properties,N/A,(615) 314-4495,1395084,APPROVED,34
NSH251010132,2025-10-29,ALTERATION,Alteration Project,ALTERATION at 5234 Franklin Pike,5234 Franklin Pike,Nashville,37201,Smith Development LLC,Volunteer State Contractors,(615) 920-7481,71281,ISSUED,20
NSH251110133,2025-11-05,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 2736 West End Ave,2736 West End Ave,Nashville,37211,Anderson Group,Tennessee Premier Builders,(615) 616-1885,774222,ISSUED,21
NSH251110134,2025-11-12,COMMERCIAL,Commercial Project,COMMERCIAL at 9030 Franklin Pike,9030 Franklin Pike,Nashville,37205,Martinez LLC,Tennessee Premier Builders,N/A,515672,ISSUED,3
NSH251110135,2025-11-03,PLUMBING,Plumbing Project,PLUMBING at 2450 Dickerson Pike,2450 Dickerson Pike,Nashville,37209,Wilson Properties,Franklin Construction,(615) 346-4409,99408,PENDING,20
NSH251110136,2025-11-20,RESIDENTIAL,Residential Project,RESIDENTIAL at 718 21st Ave,718 21st Ave,Nashville,37209,Miller Construction,Brentwood Builders Inc,N/A,5103,ISSUED,22
