permit_number,issue_date,work_type,project_name,description,address,city,zip_code,owner_name,contractor,contractor_phone,estimated_cost,status,council_district
SA25111015,2025-10-30,ELECTRICAL,San Antonio Project 16,Construction work at 7616 Broadway,9738 Broadway,San Antonio,78241,San Antonio Property Owner 16,San Antonio Builders LLC 6,(210) 506-4220,455153,APPROVED,District 3
SA25111016,2025-11-10,NEW CONSTRUCTION,San Antonio Project 17,Construction work at 3609 Houston St,1516 Broadway,San Antonio,78278,San Antonio Property Owner 17,San Antonio Builders LLC 7,(210) 706-2794,489701,FINALED,District 7
SA25111017,2025-10-30,NEW CONSTRUCTION,San Antonio Project 18,Construction work at 9627 Broadway,2787 San Pedro Ave,San Antonio,78242,San Antonio Property Owner 18,San Antonio Builders LLC 8,(210) 263-9166,195292,APPROVED,District 10
SA25111018,2025-11-13,ELECTRICAL,San Antonio Project 19,Construction work at 4238 Main St,7999 San Pedro Ave,San Antonio,78293,San Antonio Property Owner 19,San Antonio Builders LLC 9,(210) 943-2772,111296,FINALED,District 3
SA25111019,2025-11-23,PLUMBING,San Antonio Project 20,Construction work at 1939 Main St,1200 Commerce St,San Antonio,78265,San Antonio Property Owner 20,San Antonio Builders LLC 10,(210) 263-6122,207073,ISSUED,District 5
SA25111020,2025-11-07,ELECTRICAL,San Antonio Project 21,Construction work at 2943 Houston St,7214 Houston St,San Antonio,78270,San Antonio Property Owner 21,San Antonio Builders LLC 1,(210) 378-4040,137419,FINALED,District 6
SA25111021,2025-11-13,ADDITION,San Antonio Project 22,Construction work at 2363 Houston St,4847 Broadway,San Antonio,78210,San Antonio Property Owner 22,San Antonio Builders LLC 2,(210) 239-6327,161336,PENDING,District 2
SA25111022,2025-11-25,NEW CONSTRUCTION,San Antonio Project 23,Construction work at 4119 San Pedro Ave,9467 Houston St,San Antonio,78259,San Antonio Property Owner 23,San Antonio Builders LLC 3,(210) 319-6511,298867,PENDING,District 7
SA25111023,2025-11-04,ELECTRICAL,San Antonio Project 24,Construction work at 7053 Commerce St,3888 San Pedro Ave,San Antonio,78295,San Antonio Property Owner 24,San Antonio Builders LLC 4,(210) 616-3209,394403,PENDING,District 5
SA25111024,2025-11-09,PLUMBING,San Antonio Project 25,Construction work at 4605 San Pedro Ave,4280 San Pedro Ave,San Antonio,78297,San Antonio Property Owner 25,San Antonio Builders LLC 5,(210) 899-6761,325527,ISSUED,District 3
SA25111025,2025-11-12,REPAIR,San Antonio Project 26,Construction work at 7172 Main St,1988 Main St,San Antonio,78273,San Antonio Property Owner 26,San Antonio Builders LLC 6,(210) 802-3339,104885,PENDING,District 2
SA25111026,2025-11-11,ADDITION,San Antonio Project 27,Construction work at 5873 Commerce St,1867 Broadway,San Antonio,78273,San Antonio Property Owner 27,San Antonio Builders LLC 7,(210) 272-2401,323485,ISSUED,District 6
SA25111027,2025-11-12,PLUMBING,San Antonio Project 28,Construction work at 7733 Broadway,9189 Houston St,San Antonio,78248,San Antonio Property Owner 28,San Antonio Builders LLC 8,(210) 577-9914,90979,APPROVED,District 9
SA25111028,2025-11-04,REMODEL,San Antonio Project 29,Construction work at 6628 Broadway,9266 San Pedro Ave,San Antonio,78299,San Antonio Property Owner 29,San Antonio Builders LLC 9,(210) 326-4023,240385,APPROVED,District 10
SA25111029,2025-11-03,PLUMBING,San Antonio Project 30,Construction work at 6431 Commerce St,8250 Houston St,San Antonio,78284,San Antonio Property Owner 30,San Antonio Builders LLC 10,(210) 788-1658,396007,PENDING,District 1
SA25111030,2025-11-15,PLUMBING,San Antonio Project 31,Construction work at 5986 Houston St,3775 Commerce St,San Antonio,78298,San Antonio Property Owner 31,San Antonio Builders LLC 1,(210) 835-2382,103529,PENDING,District 10
SA25111031,2025-11-01,PLUMBING,San Antonio Project 32,Construction work at 1660 Main St,6889 Main St,San Antonio,78283,San Antonio Property Owner 32,San Antonio Builders LLC 2,(210) 261-6584,168132,FINALED,District 7
SA25111032,2025-11-21,ADDITION,San Antonio Project 33,Construction work at 1396 Houston St,116 Broadway,San Antonio,78282,San Antonio Property Owner 33,San Antonio Builders LLC 3,(210) 338-6651,344905,ISSUED,District 5
SA25111033,2025-11-05,ELECTRICAL,San Antonio Project 34,Construction work at 224 Houston St,7641 Houston St,San Antonio,78213,San Antonio Property Owner 34,San Antonio Builders LLC 4,(210) 778-5859,452770,ISSUED,District 10
SA25111034,2025-10-31,ADDITION,San Antonio Project 35,Construction work at 467 Main St,6947 Commerce St,San Antonio,78257,San Antonio Property Owner 35,San Antonio Builders LLC 5,(210) 839-7541,281900,ISSUED,District 1
SA25111035,2025-11-04,REMODEL,San Antonio Project 36,Construction work at 2263 San Pedro Ave,5397 Commerce St,San Antonio,78278,San Antonio Property Owner 36,San Antonio Builders LLC 6,(210) 963-3250,336571,APPROVED,District 8
SA25111036,2025-11-05,REMODEL,San Antonio Project 37,Construction work at 2073 Broadway,3803 San Pedro Ave,San Antonio,78223,San Antonio Property Owner 37,San Antonio Builders LLC 7,(210) 540-9184,452642,APPROVED,District 3
SA25111037,2025-11-06,PLUMBING,San Antonio Project 38,Construction work at 2569 Main St,6811 Commerce St,San Antonio,78220,San Antonio Property Owner 38,San Antonio Builders LLC 8,(210) 515-4031,435234,PENDING,District 10
SA25111038,2025-11-25,ELECTRICAL,San Antonio Project 39,Construction work at 5893 Broadway,5982 Main St,San Antonio,78242,San Antonio Property Owner 39,San Antonio Builders LLC 9,(210) 615-6889,178819,ISSUED,District 10
SA25111039,2025-11-22,REPAIR,San Antonio Project 40,Construction work at 1740 Houston St,8637 Main St,San Antonio,78255,San Antonio Property Owner 40,San Antonio Builders LLC 10,(210) 862-6414,172475,ISSUED,District 5
SA25111040,2025-11-10,ADDITION,San Antonio Project 41,Construction work at 1862 Commerce St,9633 Commerce St,San Antonio,78243,San Antonio Property Owner 41,San Antonio Builders LLC 1,(210) 241-7781,320395,ISSUED,District 7
SA25111041,2025-11-18,ELECTRICAL,San Antonio Project 42,Construction work at 6200 Houston St,8011 San Pedro Ave,San Antonio,78247,San Antonio Property Owner 42,San Antonio Builders LLC 2,(210) 845-3300,105812,ISSUED,District 4
SA25111042,2025-11-13,PLUMBING,San Antonio Project 43,Construction work at 3604 Houston St,2796 San Pedro Ave,San Antonio,78257,San Antonio Property Owner 43,San Antonio Builders LLC 3,(210) 998-5994,448083,PENDING,District 10
SA25111043,2025-11-12,ADDITION,San Antonio Project 44,Construction work at 7035 Main St,8575 Commerce St,San Antonio,78288,San Antonio Property Owner 44,San Antonio Builders LLC 4,(210) 695-2569,372577,FINALED,District 6
SA25111044,2025-11-02,PLUMBING,San Antonio Project 45,Construction work at 5129 San Pedro Ave,4124 San Pedro Ave,San Antonio,78270,San Antonio Property Owner 45,San Antonio Builders LLC 5,(210) 528-3027,169372,PENDING,District 9
SA25111045,2025-11-16,ELECTRICAL,San Antonio Project 46,Construction work at 3187 Broadway,1875 San Pedro Ave,San Antonio,78281,San Antonio Property Owner 46,San Antonio Builders LLC 6,(210) 625-3164,128853,APPROVED,District 8
SA25111046,2025-11-04,ADDITION,San Antonio Project 47,Construction work at 7995 Houston St,9226 Broadway,San Antonio,78217,San Antonio Property Owner 47,San Antonio Builders LLC 7,(210) 827-5308,263134,FINALED,District 8
SA25111047,2025-11-06,PLUMBING,San Antonio Project 48,Construction work at 6074 Main St,1541 Houston St,San Antonio,78269,San Antonio Property Owner 48,San Antonio Builders LLC 8,(210) 455-1156,396792,FINALED,District 4
SA25111048,2025-11-10,PLUMBING,San Antonio Project 49,Construction work at 4798 Main St,8223 San Pedro Ave,San Antonio,78226,San Antonio Property Owner 49,San Antonio Builders LLC 9,(210) 636-7231,228527,PENDING,District 3
SA25111049,2025-11-25,PLUMBING,San Antonio Project 50,Construction work at 491 Broadway,6037 Main St,San Antonio,78242,San Antonio Property Owner 50,San Antonio Builders LLC 10,(210) 530-9324,354331,FINALED,District 2
SA25111050,2025-11-07,REMODEL,San Antonio Project 51,Construction work at 4499 Houston St,308 San Pedro Ave,San Antonio,78264,San Antonio Property Owner 51,San Antonio Builders LLC 1,(210) 334-2335,380374,FINALED,District 1
SA25111051,2025-11-23,REMODEL,San Antonio Project 52,Construction work at 3205 Houston St,8059 Broadway,San Antonio,78266,San Antonio Property Owner 52,San Antonio Builders LLC 2,(210) 437-8871,472746,APPROVED,District 5
SA25111052,2025-11-06,REMODEL,San Antonio Project 53,Construction work at 7324 Broadway,3734 Commerce St,San Antonio,78279,San Antonio Property Owner 53,San Antonio Builders LLC 3,(210) 273-9970,454277,APPROVED,District 5
SA25111053,2025-11-16,PLUMBING,San Antonio Project 54,Construction work at 6763 Houston St,2303 Main St,San Antonio,78214,San Antonio Property Owner 54,San Antonio Builders LLC 4,(210) 277-6015,383389,ISSUED,District 10
SA25111054,2025-11-26,PLUMBING,San Antonio Project 55,Construction work at 8583 San Pedro Ave,9707 San Pedro Ave,San Antonio,78298,San Antonio Property Owner 55,San Antonio Builders LLC 5,(210) 420-2582,350062,ISSUED,District 7
SA25111055,2025-10-31,REMODEL,San Antonio Project 56,Construction work at 6734 Main St,3347 Broadway,San Antonio,78272,San Antonio Property Owner 56,San Antonio Builders LLC 6,(210) 938-6731,381094,ISSUED,District 1
SA25111056,2025-10-31,REPAIR,San Antonio Project 57,Construction work at 6250 San Pedro Ave,3929 Main St,San Antonio,78247,San Antonio Property Owner 57,San Antonio Builders LLC 7,(210) 524-8749,238482,FINALED,District 8
SA25111057,2025-10-31,REMODEL,San Antonio Project 58,Construction work at 2258 San Pedro Ave,4910 Main St,San Antonio,78222,San Antonio Property Owner 58,San Antonio Builders LLC 8,(210) 659-4017,216184,ISSUED,District 1
SA25111058,2025-11-19,ADDITION,San Antonio Project 59,Construction work at 9065 Broadway,3637 Main St,San Antonio,78234,San Antonio Property Owner 59,San Antonio Builders LLC 9,(210) 609-2802,255929,APPROVED,District 6
SA25111059,2025-11-23,NEW CONSTRUCTION,San Antonio Project 60,Construction work at 8024 Commerce St,804 Houston St,San Antonio,78221,San Antonio Property Owner 60,San Antonio Builders LLC 10,(210) 456-7603,95617,APPROVED,District 3
SA25111060,2025-11-23,NEW CONSTRUCTION,San Antonio Project 61,Construction work at 9876 San Pedro Ave,2925 Commerce St,San Antonio,78210,San Antonio Property Owner 61,San Antonio Builders LLC 1,(210) 365-3846,359199,ISSUED,District 2
SA25111061,2025-11-15,REPAIR,San Antonio Project 62,Construction work at 1530 San Pedro Ave,6735 San Pedro Ave,San Antonio,78281,San Antonio Property Owner 62,San Antonio Builders LLC 2,(210) 324-2248,366784,PENDING,District 10
SA25111062,2025-11-27,REMODEL,San Antonio Project 63,Construction work at 5709 San Pedro Ave,1498 Main St,San Antonio,78244,San Antonio Property Owner 63,San Antonio Builders LLC 3,(210) 989-5798,352279,PENDING,District 2
SA25111063,2025-11-10,PLUMBING,San Antonio Project 64,Construction work at 2338 Broadway,8400 Houston St,San Antonio,78210,San Antonio Property Owner 64,San Antonio Builders LLC 4,(210) 729-3278,411420,ISSUED,District 3
SA25111064,2025-11-03,ELECTRICAL,San Antonio Project 65,Construction work at 3420 Commerce St,9531 Houston St,San Antonio,78210,San Antonio Property Owner 65,San Antonio Builders LLC 5,(210) 657-1689,415186,ISSUED,District 9
SA25111065,2025-10-31,REMODEL,San Antonio Project 66,Construction work at 7488 Commerce St,5200 Broadway,San Antonio,78227,San Antonio Property Owner 66,San Antonio Builders LLC 6,(210) 657-9633,350126,FINALED,District 9
SA25111066,2025-11-09,PLUMBING,San Antonio Project 67,Construction work at 8959 San Pedro Ave,1630 San Pedro Ave,San Antonio,78229,San Antonio Property Owner 67,San Antonio Builders LLC 7,(210) 474-7687,397112,ISSUED,District 6
SA25111067,2025-11-17,ELECTRICAL,San Antonio Project 68,Construction work at 107 Houston St,460 San Pedro Ave,San Antonio,78282,San Antonio Property Owner 68,San Antonio Builders LLC 8,(210) 995-3718,458342,FINALED,District 3
SA25111068,2025-11-26,ELECTRICAL,San Antonio Project 69,Construction work at 8703 Broadway,9415 San Pedro Ave,San Antonio,78210,San Antonio Property Owner 69,San Antonio Builders LLC 9,(210) 826-1743,416280,APPROVED,District 7
SA25111069,2025-11-16,NEW CONSTRUCTION,San Antonio Project 70,Construction work at 8691 Main St,3225 San Pedro Ave,San Antonio,78275,San Antonio Property Owner 70,San Antonio Builders LLC 10,(210) 923-6765,483835,APPROVED,District 3
SA25111070,2025-10-31,NEW CONSTRUCTION,San Antonio Project 71,Construction work at 8710 San Pedro Ave,9617 Houston St,San Antonio,78222,San Antonio Property Owner 71,San Antonio Builders LLC 1,(210) 526-3644,74107,PENDING,District 7
SA25111071,2025-11-12,ELECTRICAL,San Antonio Project 72,Construction work at 7271 Broadway,2442 Broadway,San Antonio,78227,San Antonio Property Owner 72,San Antonio Builders LLC 2,(210) 886-6494,400668,PENDING,District 9
SA25111072,2025-11-27,REPAIR,San Antonio Project 73,Construction work at 7938 San Pedro Ave,2384 San Pedro Ave,San Antonio,78216,San Antonio Property Owner 73,San Antonio Builders LLC 3,(210) 461-5269,310667,ISSUED,District 10
SA25111073,2025-11-25,NEW CONSTRUCTION,San Antonio Project 74,Construction work at 6932 Commerce St,6656 Houston St,San Antonio,78263,San Antonio Property Owner 74,San Antonio Builders LLC 4,(210) 889-3937,92023,FINALED,District 9
SA25111074,2025-11-05,ADDITION,San Antonio Project 75,Construction work at 1571 Main St,4078 Commerce St,San Antonio,78263,San Antonio Property Owner 75,San Antonio Builders LLC 5,(210) 644-6243,302544,ISSUED,District 10
SA25111075,2025-11-05,ADDITION,San Antonio Project 76,Construction work at 9398 Commerce St,8814 Commerce St,San Antonio,78240,San Antonio Property Owner 76,San Antonio Builders LLC 6,(210) 371-5046,54185,ISSUED,District 1
SA25111076,2025-11-24,ELECTRICAL,San Antonio Project 77,Construction work at 813 Commerce St,6817 Houston St,San Antonio,78264,San Antonio Property Owner 77,San Antonio Builders LLC 7,(210) 429-7181,303420,APPROVED,District 8
SA25111077,2025-11-11,REPAIR,San Antonio Project 78,Construction work at 447 Commerce St,8152 Commerce St,San Antonio,78227,San Antonio Property Owner 78,San Antonio Builders LLC 8,(210) 508-2371,470014,APPROVED,District 7
SA25111078,2025-11-04,ELECTRICAL,San Antonio Project 79,Construction work at 3150 Houston St,2300 Main St,San Antonio,78268,San Antonio Property Owner 79,San Antonio Builders LLC 9,(210) 893-9506,206123,FINALED,District 8
SA25111079,2025-11-26,ADDITION,San Antonio Project 80,Construction work at 2163 Main St,662 Commerce St,San Antonio,78264,San Antonio Property Owner 80,San Antonio Builders LLC 10,(210) 906-3830,63722,APPROVED,District 9
SA25111080,2025-11-15,REPAIR,San Antonio Project 81,Construction work at 2398 San Pedro Ave,8410 Broadway,San Antonio,78279,San Antonio Property Owner 81,San Antonio Builders LLC 1,(210) 505-8437,63457,FINALED,District 6
SA25111081,2025-11-08,NEW CONSTRUCTION,San Antonio Project 82,Construction work at 4924 Houston St,7433 Houston St,San Antonio,78251,San Antonio Property Owner 82,San Antonio Builders LLC 2,(210) 345-6163,449429,ISSUED,District 4
SA25111082,2025-11-23,REMODEL,San Antonio Project 83,Construction work at 5874 Broadway,9373 San Pedro Ave,San Antonio,78242,San Antonio Property Owner 83,San Antonio Builders LLC 3,(210) 868-4411,432924,APPROVED,District 1
SA25111083,2025-11-24,ELECTRICAL,San Antonio Project 84,Construction work at 9382 Commerce St,7768 San Pedro Ave,San Antonio,78266,San Antonio Property Owner 84,San Antonio Builders LLC 4,(210) 396-1781,477340,APPROVED,District 1
SA25111084,2025-11-22,ELECTRICAL,San Antonio Project 85,Construction work at 9194 Houston St,632 San Pedro Ave,San Antonio,78296,San Antonio Property Owner 85,San Antonio Builders LLC 5,(210) 228-8128,150887,ISSUED,District 10
SA25111085,2025-11-13,ADDITION,San Antonio Project 86,Construction work at 6218 San Pedro Ave,8310 Commerce St,San Antonio,78218,San Antonio Property Owner 86,San Antonio Builders LLC 6,(210) 607-7588,393262,FINALED,District 2
SA25111086,2025-11-17,REMODEL,San Antonio Project 87,Construction work at 188 Commerce St,1003 San Pedro Ave,San Antonio,78279,San Antonio Property Owner 87,San Antonio Builders LLC 7,(210) 624-6822,60952,PENDING,District 1
SA25111087,2025-11-23,ADDITION,San Antonio Project 88,Construction work at 5121 San Pedro Ave,7981 Main St,San Antonio,78274,San Antonio Property Owner 88,San Antonio Builders LLC 8,(210) 804-2419,63950,ISSUED,District 8
SA25111088,2025-11-27,PLUMBING,San Antonio Project 89,Construction work at 4415 Houston St,8736 Main St,San Antonio,78236,San Antonio Property Owner 89,San Antonio Builders LLC 9,(210) 392-3248,257286,FINALED,District 9
SA25111089,2025-11-05,REPAIR,San Antonio Project 90,Construction work at 9738 Commerce St,5339 San Pedro Ave,San Antonio,78274,San Antonio Property Owner 90,San Antonio Builders LLC 10,(210) 373-7896,255297,FINALED,District 1
SA25111090,2025-10-30,ADDITION,San Antonio Project 91,Construction work at 3330 San Pedro Ave,5039 Commerce St,San Antonio,78299,San Antonio Property Owner 91,San Antonio Builders LLC 1,(210) 931-8082,318471,PENDING,District 1
SA25111091,2025-11-22,ELECTRICAL,San Antonio Project 92,Construction work at 5273 San Pedro Ave,4033 Commerce St,San Antonio,78248,San Antonio Property Owner 92,San Antonio Builders LLC 2,(210) 606-7701,448667,FINALED,District 2
SA25111092,2025-10-31,PLUMBING,San Antonio Project 93,Construction work at 5303 San Pedro Ave,7722 Commerce St,San Antonio,78256,San Antonio Property Owner 93,San Antonio Builders LLC 3,(210) 401-1849,405888,APPROVED,District 3
SA25111093,2025-11-23,ELECTRICAL,San Antonio Project 94,Construction work at 3350 Houston St,8573 Houston St,San Antonio,78252,San Antonio Property Owner 94,San Antonio Builders LLC 4,(210) 532-7557,483912,APPROVED,District 1
SA25111094,2025-11-05,REMODEL,San Antonio Project 95,Construction work at 9624 Commerce St,1802 San Pedro Ave,San Antonio,78287,San Antonio Property Owner 95,San Antonio Builders LLC 5,(210) 638-4358,172300,APPROVED,District 7
SA25111095,2025-11-23,PLUMBING,San Antonio Project 96,Construction work at 6697 Commerce St,1873 Broadway,San Antonio,78259,San Antonio Property Owner 96,San Antonio Builders LLC 6,(210) 783-5269,95773,ISSUED,District 8
SA25111096,2025-11-16,NEW CONSTRUCTION,San Antonio Project 97,Construction work at 1634 Main St,4116 Main St,San Antonio,78270,San Antonio Property Owner 97,San Antonio Builders LLC 7,(210) 532-3750,335774,FINALED,District 3
SA25111097,2025-11-04,REMODEL,San Antonio Project 98,Construction work at 8456 Broadway,9675 Main St,San Antonio,78233,San Antonio Property Owner 98,San Antonio Builders LLC 8,(210) 434-9748,255361,FINALED,District 5
SA25111098,2025-11-28,REMODEL,San Antonio Project 99,Construction work at 7031 Broadway,5084 Main St,San Antonio,78293,San Antonio Property Owner 99,San Antonio Builders LLC 9,(210) 656-3224,315628,FINALED,District 2
SA25111099,2025-11-02,REMODEL,San Antonio Project 100,Construction work at 3979 Broadway,8629 Main St,San Antonio,78214,San Antonio Property Owner 100,San Antonio Builders LLC 10,(210) 630-7460,402102,PENDING,District 3
SA25111100,2025-11-12,NEW CONSTRUCTION,San Antonio Project 101,Construction work at 3580 San Pedro Ave,1237 Commerce St,San Antonio,78293,San Antonio Property Owner 101,San Antonio Builders LLC 1,(210) 639-6567,314845,PENDING,District 9
SA25111101,2025-11-17,ELECTRICAL,San Antonio Project 102,Construction work at 6861 Broadway,8611 San Pedro Ave,San Antonio,78228,San Antonio Property Owner 102,San Antonio Builders LLC 2,(210) 291-1086,485695,PENDING,District 2
SA25111102,2025-10-31,REPAIR,San Antonio Project 103,Construction work at 144 San Pedro Ave,9124 Commerce St,San Antonio,78268,San Antonio Property Owner 103,San Antonio Builders LLC 3,(210) 338-1378,62615,APPROVED,District 6
SA25111103,2025-10-30,PLUMBING,San Antonio Project 104,Construction work at 8547 San Pedro Ave,534 Houston St,San Antonio,78223,San Antonio Property Owner 104,San Antonio Builders LLC 4,(210) 736-3230,183755,FINALED,District 8
SA25111104,2025-11-17,ADDITION,San Antonio Project 105,Construction work at 5619 Commerce St,5633 Broadway,San Antonio,78224,San Antonio Property Owner 105,San Antonio Builders LLC 5,(210) 496-7387,306076,FINALED,District 4
SA25111105,2025-11-04,ADDITION,San Antonio Project 106,Construction work at 1744 Houston St,6218 Houston St,San Antonio,78299,San Antonio Property Owner 106,San Antonio Builders LLC 6,(210) 744-7505,138486,ISSUED,District 4
SA25111106,2025-11-03,REMODEL,San Antonio Project 107,Construction work at 9287 Houston St,7062 San Pedro Ave,San Antonio,78278,San Antonio Property Owner 107,San Antonio Builders LLC 7,(210) 686-6484,496296,APPROVED,District 8
SA25111107,2025-11-01,REPAIR,San Antonio Project 108,Construction work at 3479 Main St,9401 Commerce St,San Antonio,78251,San Antonio Property Owner 108,San Antonio Builders LLC 8,(210) 437-5494,290969,FINALED,District 2
SA25111108,2025-11-25,PLUMBING,San Antonio Project 109,Construction work at 1011 Commerce St,6100 Main St,San Antonio,78270,San Antonio Property Owner 109,San Antonio Builders LLC 9,(210) 622-9427,61721,APPROVED,District 10
SA25111109,2025-11-14,ADDITION,San Antonio Project 110,Construction work at 3257 Commerce St,6231 San Pedro Ave,San Antonio,78222,San Antonio Property Owner 110,San Antonio Builders LLC 10,(210) 388-3993,235884,ISSUED,District 7
SA25111110,2025-11-22,PLUMBING,San Antonio Project 111,Construction work at 3585 Houston St,6509 Commerce St,San Antonio,78218,San Antonio Property Owner 111,San Antonio Builders LLC 1,(210) 707-6262,63510,ISSUED,District 7
SA25111111,2025-11-12,REPAIR,San Antonio Project 112,Construction work at 140 San Pedro Ave,143 Houston St,San Antonio,78227,San Antonio Property Owner 112,San Antonio Builders LLC 2,(210) 918-8056,481241,ISSUED,District 3
SA25111112,2025-11-23,ADDITION,San Antonio Project 113,Construction work at 7569 Main St,5386 Commerce St,San Antonio,78211,San Antonio Property Owner 113,San Antonio Builders LLC 3,(210) 635-5804,442173,PENDING,District 10
SA25111113,2025-11-14,REMODEL,San Antonio Project 114,Construction work at 953 Broadway,2117 Broadway,San Antonio,78224,San Antonio Property Owner 114,San Antonio Builders LLC 4,(210) 521-9952,272855,ISSUED,District 1
SA25111114,2025-11-20,ADDITION,San Antonio Project 115,Construction work at 2370 San Pedro Ave,9213 Broadway,San Antonio,78274,San Antonio Property Owner 115,San Antonio Builders LLC 5,(210) 931-4109,431965,ISSUED,District 2
SA25111115,2025-11-05,PLUMBING,San Antonio Project 116,Construction work at 3678 Broadway,498 Houston St,San Antonio,78291,San Antonio Property Owner 116,San Antonio Builders LLC 6,(210) 502-1735,367212,FINALED,District 3
SA25111116,2025-11-03,REPAIR,San Antonio Project 117,Construction work at 4412 San Pedro Ave,4115 Houston St,San Antonio,78297,San Antonio Property Owner 117,San Antonio Builders LLC 7,(210) 735-1204,460048,ISSUED,District 5
SA25111117,2025-11-13,NEW CONSTRUCTION,San Antonio Project 118,Construction work at 6904 Commerce St,9354 Commerce St,San Antonio,78282,San Antonio Property Owner 118,San Antonio Builders LLC 8,(210) 546-9260,154659,PENDING,District 8
SA25111118,2025-11-02,REMODEL,San Antonio Project 119,Construction work at 7691 Broadway,6866 Main St,San Antonio,78283,San Antonio Property Owner 119,San Antonio Builders LLC 9,(210) 494-3015,71033,FINALED,District 7
SA25111119,2025-11-03,NEW CONSTRUCTION,San Antonio Project 120,Construction work at 1041 Commerce St,1437 Houston St,San Antonio,78216,San Antonio Property Owner 120,San Antonio Builders LLC 10,(210) 214-5287,242873,ISSUED,District 6
SA25111120,2025-11-19,ADDITION,San Antonio Project 121,Construction work at 702 Houston St,8784 San Pedro Ave,San Antonio,78295,San Antonio Property Owner 121,San Antonio Builders LLC 1,(210) 284-9085,142704,APPROVED,District 6
SA25111121,2025-11-18,REPAIR,San Antonio Project 122,Construction work at 165 Houston St,9975 San Pedro Ave,San Antonio,78297,San Antonio Property Owner 122,San Antonio Builders LLC 2,(210) 436-2144,112404,FINALED,District 5
SA25111122,2025-11-06,REPAIR,San Antonio Project 123,Construction work at 3871 Broadway,7754 Broadway,San Antonio,78224,San Antonio Property Owner 123,San Antonio Builders LLC 3,(210) 723-4401,216744,ISSUED,District 10
