permit_number,address,type,value,issued_date,status
NSH251110059,5390 West End Ave,ADDITION,412769,2025-11-25,ISSUED
NSH251110060,9997 West End Ave,REMODEL,241609,2025-11-13,ISSUED
NSH251110061,1340 Broadway,NEW CONSTRUCTION,127310,2025-09-27,ISSUED
NSH251110062,1567 Woodland St,REMODEL,376151,2025-10-27,ISSUED
NSH251110063,5873 Church St,NEW CONSTRUCTION,372916,2025-09-09,ISSUED
NSH251110064,8722 Woodland St,NEW CONSTRUCTION,122821,2025-09-15,ISSUED
NSH251110065,3079 Charlotte Ave,NEW CONSTRUCTION,319212,2025-09-21,ISSUED
NSH251110066,8198 Broadway,ADDITION,298268,2025-09-17,ISSUED
NSH251110067,8889 Charlotte Ave,NEW CONSTRUCTION,449428,2025-11-02,ISSUED
NSH251110068,7988 Charlotte Ave,ADDITION,346119,2025-09-08,ISSUED
NSH251110069,8876 Woodland St,ADDITION,405704,2025-11-23,ISSUED
NSH251110070,6397 Broadway,ADDITION,374906,2025-11-04,ISSUED
NSH251110071,5050 Church St,NEW CONSTRUCTION,180274,2025-11-24,ISSUED
NSH251110072,7603 Broadway,NEW CONSTRUCTION,439002,2025-11-13,ISSUED
NSH251110073,7316 Church St,ADDITION,70341,2025-11-05,ISSUED
NSH251110074,3256 Broadway,NEW CONSTRUCTION,66828,2025-09-26,ISSUED
NSH251110075,8578 Church St,NEW CONSTRUCTION,437455,2025-09-11,ISSUED
NSH251110076,4425 Woodland St,REMODEL,270180,2025-09-01,ISSUED
NSH251110077,3763 Church St,NEW CONSTRUCTION,139096,2025-10-18,ISSUED
NSH251110078,1692 Broadway,ADDITION,95698,2025-10-11,ISSUED
NSH251110079,4665 Broadway,NEW CONSTRUCTION,345011,2025-11-03,ISSUED
NSH251110080,7183 West End Ave,NEW CONSTRUCTION,419049,2025-10-25,ISSUED
NSH251110081,8378 West End Ave,ADDITION,229972,2025-10-08,ISSUED
NSH251110082,2355 Woodland St,REMODEL,368588,2025-11-14,ISSUED
NSH251110083,7991 Broadway,REMODEL,291135,2025-11-02,ISSUED
NSH251110084,7759 West End Ave,REMODEL,273989,2025-09-17,ISSUED
NSH251110085,1537 Church St,NEW CONSTRUCTION,466773,2025-11-09,ISSUED
NSH251110086,4928 Broadway,REMODEL,288016,2025-09-01,ISSUED
NSH251110087,5967 West End Ave,REMODEL,288217,2025-11-08,ISSUED
NSH251110088,1208 Charlotte Ave,REMODEL,117489,2025-10-19,ISSUED
NSH251110089,2184 Broadway,NEW CONSTRUCTION,292812,2025-09-24,ISSUED
NSH251110090,6157 Charlotte Ave,ADDITION,292206,2025-09-06,ISSUED
NSH251110091,8957 Woodland St,REMODEL,238154,2025-09-28,ISSUED
NSH251110092,8134 Broadway,ADDITION,233737,2025-11-14,ISSUED
NSH251110093,7397 Church St,REMODEL,194914,2025-10-09,ISSUED
NSH251110094,5834 Charlotte Ave,REMODEL,162770,2025-10-02,ISSUED
NSH251110095,8768 Woodland St,NEW CONSTRUCTION,144744,2025-10-10,ISSUED
NSH251110096,1931 Broadway,REMODEL,399293,2025-10-19,ISSUED
NSH251110097,8608 West End Ave,ADDITION,418236,2025-11-09,ISSUED
NSH251110098,7167 Woodland St,ADDITION,247126,2025-09-15,ISSUED
NSH251110099,1362 Church St,ADDITION,389566,2025-11-07,ISSUED
NSH251110100,4681 Broadway,ADDITION,186730,2025-11-25,ISSUED
NSH251110101,2476 Church St,NEW CONSTRUCTION,159916,2025-11-08,ISSUED
NSH251110102,4366 Woodland St,NEW CONSTRUCTION,465051,2025-11-03,ISSUED
NSH251110103,1264 West End Ave,ADDITION,388209,2025-11-09,ISSUED
NSH251110104,1900 Church St,ADDITION,215417,2025-10-03,ISSUED
NSH251110105,7790 Woodland St,REMODEL,303531,2025-11-11,ISSUED
NSH251110106,5272 West End Ave,ADDITION,155817,2025-10-24,ISSUED
NSH251110107,9177 Church St,NEW CONSTRUCTION,208815,2025-11-09,ISSUED
NSH251110108,2576 West End Ave,NEW CONSTRUCTION,378862,2025-09-18,ISSUED
NSH251110109,3110 Church St,REMODEL,58185,2025-10-31,ISSUED
NSH251110110,4488 Charlotte Ave,ADDITION,198840,2025-11-13,ISSUED
NSH251110111,7791 West End Ave,REMODEL,473504,2025-11-18,ISSUED
NSH251110112,6960 Charlotte Ave,ADDITION,407908,2025-11-08,ISSUED
NSH251110113,6241 Woodland St,REMODEL,392577,2025-11-11,ISSUED
NSH251110114,1579 Broadway,REMODEL,434275,2025-11-29,ISSUED
NSH251110115,7414 Woodland St,REMODEL,221332,2025-10-09,ISSUED
NSH251110116,5600 Woodland St,ADDITION,491394,2025-11-01,ISSUED
NSH251110117,8291 Charlotte Ave,ADDITION,253587,2025-09-10,ISSUED
NSH251110118,5331 Broadway,NEW CONSTRUCTION,373866,2025-10-03,ISSUED
NSH251110119,6958 Broadway,REMODEL,432568,2025-11-07,ISSUED
NSH251110120,2249 Woodland St,REMODEL,402130,2025-09-17,ISSUED
NSH251110121,1756 Broadway,REMODEL,180963,2025-11-27,ISSUED
NSH251110122,2803 Woodland St,NEW CONSTRUCTION,395305,2025-10-25,ISSUED
NSH251110123,7858 Woodland St,NEW CONSTRUCTION,230821,2025-09-22,ISSUED
NSH251110124,9020 Broadway,REMODEL,274258,2025-09-03,ISSUED
NSH251110125,1310 Broadway,ADDITION,411898,2025-11-24,ISSUED
NSH251110126,8111 Church St,NEW CONSTRUCTION,270709,2025-09-03,ISSUED
NSH251110127,5778 Woodland St,REMODEL,278144,2025-09-27,ISSUED
NSH251110128,3474 Charlotte Ave,ADDITION,228182,2025-11-08,ISSUED
NSH251110129,8616 Woodland St,REMODEL,116146,2025-10-12,ISSUED
NSH251110130,879 Broadway,ADDITION,451965,2025-10-11,ISSUED
NSH251110131,9749 Church St,NEW CONSTRUCTION,498386,2025-09-21,ISSUED
NSH251110132,3147 Woodland St,NEW CONSTRUCTION,469339,2025-09-13,ISSUED
NSH251110133,8176 West End Ave,REMODEL,488980,2025-10-29,ISSUED
NSH251110134,1408 Church St,REMODEL,297229,2025-09-07,ISSUED
NSH251110135,2976 West End Ave,REMODEL,93776,2025-10-02,ISSUED
NSH251110136,9213 Woodland St,ADDITION,339556,2025-09-18,ISSUED
NSH251110137,348 West End Ave,NEW CONSTRUCTION,193538,2025-11-21,ISSUED
NSH251110138,9515 West End Ave,NEW CONSTRUCTION,331961,2025-11-19,ISSUED
NSH251110139,5767 Church St,ADDITION,364177,2025-09-14,ISSUED
NSH251110140,173 Woodland St,REMODEL,415837,2025-09-26,ISSUED
NSH251110141,968 Church St,REMODEL,499099,2025-11-02,ISSUED
NSH251110142,5082 Broadway,NEW CONSTRUCTION,246673,2025-09-01,ISSUED
NSH251110143,6693 Church St,REMODEL,56873,2025-10-31,ISSUED
NSH251110144,5752 Woodland St,NEW CONSTRUCTION,352260,2025-10-10,ISSUED
NSH251110145,8723 Church St,ADDITION,55601,2025-10-11,ISSUED
NSH251110146,8484 West End Ave,NEW CONSTRUCTION,291871,2025-09-14,ISSUED
NSH251110147,6687 Charlotte Ave,REMODEL,317062,2025-10-13,ISSUED
NSH251110148,379 Church St,REMODEL,114570,2025-10-16,ISSUED
NSH251110149,5133 West End Ave,REMODEL,424564,2025-11-02,ISSUED
NSH251110150,5179 West End Ave,REMODEL,373901,2025-11-23,ISSUED
NSH251110151,9918 Charlotte Ave,REMODEL,319696,2025-10-07,ISSUED
NSH251110152,1853 West End Ave,REMODEL,437954,2025-09-30,ISSUED
NSH251110153,5057 Church St,REMODEL,126642,2025-11-01,ISSUED
NSH251110154,265 Church St,ADDITION,117388,2025-10-28,ISSUED
NSH251110155,2060 West End Ave,ADDITION,448986,2025-09-25,ISSUED
NSH251110156,9401 Charlotte Ave,REMODEL,273152,2025-10-23,ISSUED
NSH251110157,100 Woodland St,REMODEL,482489,2025-09-24,ISSUED
NSH251110158,1260 West End Ave,ADDITION,210530,2025-11-06,ISSUED
NSH251110159,2242 West End Ave,NEW CONSTRUCTION,373648,2025-10-15,ISSUED
NSH251110160,4754 Broadway,REMODEL,423516,2025-09-24,ISSUED
NSH251110161,547 Church St,REMODEL,439014,2025-10-03,ISSUED
NSH251110162,4281 Broadway,NEW CONSTRUCTION,339092,2025-11-04,ISSUED
NSH251110163,5834 West End Ave,ADDITION,476163,2025-09-28,ISSUED
NSH251110164,3381 Church St,ADDITION,124810,2025-10-04,ISSUED
NSH251110165,4755 West End Ave,ADDITION,409046,2025-11-28,ISSUED
NSH251110166,3551 Charlotte Ave,NEW CONSTRUCTION,218020,2025-11-14,ISSUED
NSH251110167,991 Woodland St,NEW CONSTRUCTION,269632,2025-09-01,ISSUED
NSH251110168,305 West End Ave,NEW CONSTRUCTION,115254,2025-11-13,ISSUED
NSH251110169,7063 Charlotte Ave,NEW CONSTRUCTION,308457,2025-11-23,ISSUED
NSH251110170,4048 Church St,ADDITION,360477,2025-09-10,ISSUED
NSH251110171,5688 Broadway,REMODEL,200617,2025-11-08,ISSUED
NSH251110172,7133 West End Ave,NEW CONSTRUCTION,464692,2025-10-17,ISSUED
NSH251110173,884 Church St,ADDITION,403206,2025-09-03,ISSUED
NSH251110174,7902 Charlotte Ave,REMODEL,404002,2025-11-19,ISSUED
NSH251110175,4289 Broadway,REMODEL,97199,2025-10-30,ISSUED
NSH251110176,7354 Charlotte Ave,ADDITION,365916,2025-09-01,ISSUED
NSH251110177,4658 Broadway,ADDITION,319497,2025-09-09,ISSUED
NSH251110178,7335 Woodland St,REMODEL,287722,2025-10-27,ISSUED
NSH251110179,5952 Woodland St,NEW CONSTRUCTION,257014,2025-09-06,ISSUED
NSH251110180,5468 West End Ave,REMODEL,418902,2025-09-30,ISSUED
NSH251110181,8511 West End Ave,REMODEL,420281,2025-11-03,ISSUED
NSH251110182,8575 Broadway,REMODEL,389347,2025-11-17,ISSUED
NSH251110183,7095 Broadway,NEW CONSTRUCTION,87966,2025-11-16,ISSUED
NSH251110184,9418 Woodland St,REMODEL,333883,2025-11-01,ISSUED
NSH251110185,2472 West End Ave,NEW CONSTRUCTION,488491,2025-11-16,ISSUED
NSH251110186,7608 Church St,NEW CONSTRUCTION,54848,2025-11-23,ISSUED
NSH251110187,8710 Broadway,ADDITION,140957,2025-10-20,ISSUED
NSH251110188,6671 Church St,ADDITION,187526,2025-09-20,ISSUED
NSH251110189,3627 Charlotte Ave,REMODEL,382334,2025-09-30,ISSUED
NSH251110190,5554 Broadway,REMODEL,311494,2025-11-29,ISSUED
NSH251110191,7360 Woodland St,REMODEL,294109,2025-10-08,ISSUED
NSH251110192,5912 Broadway,REMODEL,162312,2025-10-27,ISSUED
NSH251110193,5706 Woodland St,REMODEL,274607,2025-11-28,ISSUED
NSH251110194,7736 Church St,REMODEL,187849,2025-09-29,ISSUED
NSH251110195,7942 Broadway,REMODEL,64931,2025-10-29,ISSUED
NSH251110196,8679 West End Ave,NEW CONSTRUCTION,359062,2025-11-14,ISSUED
NSH251110197,3181 Broadway,NEW CONSTRUCTION,497644,2025-10-26,ISSUED
NSH251110198,3907 Woodland St,ADDITION,459504,2025-10-08,ISSUED
NSH251110199,717 Charlotte Ave,NEW CONSTRUCTION,196160,2025-11-07,ISSUED
NSH251110200,2739 West End Ave,NEW CONSTRUCTION,207984,2025-11-16,ISSUED
NSH251110201,468 West End Ave,REMODEL,483865,2025-10-28,ISSUED
NSH251110202,5139 Church St,REMODEL,270508,2025-11-03,ISSUED
NSH251110203,1041 Church St,ADDITION,361945,2025-09-14,ISSUED
NSH251110204,6070 Broadway,ADDITION,91120,2025-11-12,ISSUED
NSH251110205,8550 Woodland St,REMODEL,484923,2025-10-18,ISSUED
NSH251110206,8379 West End Ave,ADDITION,475017,2025-11-26,ISSUED
NSH251110207,8927 West End Ave,ADDITION,341593,2025-11-19,ISSUED
NSH251110208,1080 West End Ave,NEW CONSTRUCTION,228845,2025-11-28,ISSUED
NSH251110209,4066 Church St,NEW CONSTRUCTION,130313,2025-10-02,ISSUED
NSH251110210,923 Church St,ADDITION,383785,2025-09-28,ISSUED
NSH251110211,9158 Broadway,ADDITION,425287,2025-09-13,ISSUED
NSH251110212,8074 Broadway,REMODEL,144906,2025-10-22,ISSUED
NSH251110213,4512 Broadway,REMODEL,122353,2025-10-02,ISSUED
NSH251110214,1092 West End Ave,REMODEL,446327,2025-10-16,ISSUED
NSH251110215,3829 Charlotte Ave,REMODEL,347551,2025-11-03,ISSUED
NSH251110216,5596 Charlotte Ave,ADDITION,341820,2025-10-25,ISSUED
NSH251110217,8235 West End Ave,REMODEL,181923,2025-09-09,ISSUED
NSH251110218,5011 West End Ave,NEW CONSTRUCTION,70408,2025-09-04,ISSUED
NSH251110219,7811 West End Ave,REMODEL,106712,2025-11-21,ISSUED
NSH251110220,5617 Woodland St,ADDITION,67670,2025-09-06,ISSUED
NSH251110221,6432 West End Ave,REMODEL,299046,2025-11-17,ISSUED
NSH251110222,5907 West End Ave,REMODEL,342613,2025-11-09,ISSUED
NSH251110223,4645 Church St,NEW CONSTRUCTION,444534,2025-09-18,ISSUED
NSH251110224,6447 Broadway,NEW CONSTRUCTION,279371,2025-11-13,ISSUED
NSH251110225,4066 Church St,ADDITION,412836,2025-11-14,ISSUED
NSH251110226,7304 Church St,REMODEL,383189,2025-09-18,ISSUED
NSH251110227,8784 Woodland St,NEW CONSTRUCTION,159666,2025-11-23,ISSUED
NSH251110228,8104 West End Ave,REMODEL,277530,2025-09-13,ISSUED
NSH251110229,5008 Church St,ADDITION,407736,2025-09-06,ISSUED
NSH251110230,5759 Broadway,ADDITION,265296,2025-09-02,ISSUED
NSH251110231,714 Broadway,ADDITION,215839,2025-11-02,ISSUED
NSH251110232,3236 Broadway,REMODEL,213863,2025-10-09,ISSUED
NSH251110233,1536 Woodland St,ADDITION,471577,2025-10-16,ISSUED
NSH251110234,3109 West End Ave,REMODEL,377604,2025-09-07,ISSUED
NSH251110235,2568 Broadway,ADDITION,367226,2025-09-22,ISSUED
NSH251110236,8211 Charlotte Ave,NEW CONSTRUCTION,381995,2025-09-20,ISSUED
NSH251110237,2739 Church St,REMODEL,454360,2025-11-03,ISSUED
NSH251110238,2074 Charlotte Ave,REMODEL,53197,2025-08-31,ISSUED
NSH251110239,8828 Woodland St,REMODEL,219215,2025-09-22,ISSUED
NSH251110240,2182 Church St,NEW CONSTRUCTION,407863,2025-10-28,ISSUED
NSH251110241,6615 Woodland St,NEW CONSTRUCTION,371290,2025-10-26,ISSUED
NSH251110242,6871 Woodland St,ADDITION,220806,2025-11-25,ISSUED
NSH251110243,1288 West End Ave,NEW CONSTRUCTION,122165,2025-09-12,ISSUED
NSH251110244,8538 Broadway,NEW CONSTRUCTION,52448,2025-11-01,ISSUED
NSH251110245,4259 Broadway,REMODEL,290360,2025-11-14,ISSUED
NSH251110246,8604 Broadway,NEW CONSTRUCTION,289986,2025-10-10,ISSUED
NSH251110247,8034 Broadway,REMODEL,82958,2025-11-16,ISSUED
NSH251110248,5413 Charlotte Ave,NEW CONSTRUCTION,361910,2025-11-28,ISSUED
NSH251110249,7225 Church St,REMODEL,439209,2025-10-04,ISSUED
NSH251110250,7571 Woodland St,NEW CONSTRUCTION,196230,2025-10-19,ISSUED
NSH251110251,7826 Church St,REMODEL,61708,2025-10-13,ISSUED
NSH251110252,7544 Woodland St,ADDITION,296392,2025-10-28,ISSUED
NSH251110253,5049 Charlotte Ave,REMODEL,176858,2025-09-08,ISSUED
NSH251110254,3712 West End Ave,NEW CONSTRUCTION,478388,2025-10-15,ISSUED
NSH251110255,1719 West End Ave,REMODEL,466709,2025-11-25,ISSUED
NSH251110256,3932 West End Ave,ADDITION,237742,2025-11-26,ISSUED
NSH251110257,6442 Church St,ADDITION,343132,2025-10-24,ISSUED
NSH251110258,7769 Charlotte Ave,REMODEL,192797,2025-09-17,ISSUED
NSH251110259,1790 West End Ave,REMODEL,436051,2025-10-04,ISSUED
NSH251110260,8146 Charlotte Ave,NEW CONSTRUCTION,132604,2025-10-24,ISSUED
NSH251110261,9285 Church St,ADDITION,473107,2025-10-28,ISSUED
NSH251110262,1703 Church St,REMODEL,164870,2025-10-30,ISSUED
NSH251110263,4467 West End Ave,ADDITION,158818,2025-10-09,ISSUED
NSH251110264,3476 Woodland St,ADDITION,343133,2025-10-27,ISSUED
NSH251110265,1867 Church St,ADDITION,144069,2025-09-19,ISSUED
NSH251110266,4577 West End Ave,REMODEL,406263,2025-10-14,ISSUED
NSH251110267,2136 Church St,NEW CONSTRUCTION,416390,2025-11-09,ISSUED
NSH251110268,8685 West End Ave,NEW CONSTRUCTION,320057,2025-09-19,ISSUED
NSH251110269,7251 Broadway,ADDITION,212700,2025-11-25,ISSUED
NSH251110270,6395 Charlotte Ave,REMODEL,70014,2025-10-24,ISSUED
NSH251110271,1423 Church St,REMODEL,51866,2025-10-19,ISSUED
NSH251110272,7830 Woodland St,ADDITION,284039,2025-09-16,ISSUED
NSH251110273,1645 West End Ave,REMODEL,228275,2025-10-18,ISSUED
NSH251110274,3419 Broadway,REMODEL,136953,2025-09-15,ISSUED
NSH251110275,2428 Charlotte Ave,ADDITION,70857,2025-09-01,ISSUED
NSH251110276,3687 Woodland St,ADDITION,332826,2025-10-26,ISSUED
NSH251110277,169 Charlotte Ave,NEW CONSTRUCTION,468916,2025-10-26,ISSUED
NSH251110278,509 Charlotte Ave,NEW CONSTRUCTION,427253,2025-10-01,ISSUED
NSH251110279,9077 Woodland St,REMODEL,385111,2025-09-10,ISSUED
NSH251110280,5110 West End Ave,ADDITION,144578,2025-08-31,ISSUED
NSH251110281,5991 Church St,ADDITION,456478,2025-10-16,ISSUED
NSH251110282,9970 Broadway,NEW CONSTRUCTION,185265,2025-10-11,ISSUED
NSH251110283,7072 West End Ave,REMODEL,451444,2025-09-24,ISSUED
NSH251110284,8506 Broadway,ADDITION,419464,2025-09-12,ISSUED
NSH251110285,6606 Broadway,ADDITION,60536,2025-11-29,ISSUED
NSH251110286,4160 West End Ave,REMODEL,186756,2025-09-20,ISSUED
NSH251110287,9346 Broadway,NEW CONSTRUCTION,238804,2025-11-06,ISSUED
NSH251110288,1006 Church St,ADDITION,428197,2025-10-16,ISSUED
NSH251110289,6208 Charlotte Ave,NEW CONSTRUCTION,65381,2025-11-26,ISSUED
NSH251110290,2309 West End Ave,ADDITION,103387,2025-10-09,ISSUED
NSH251110291,8282 Church St,REMODEL,155659,2025-10-27,ISSUED
NSH251110292,2543 Charlotte Ave,NEW CONSTRUCTION,170795,2025-09-27,ISSUED
NSH251110293,6428 West End Ave,NEW CONSTRUCTION,469552,2025-10-03,ISSUED
NSH251110294,1481 Broadway,ADDITION,165767,2025-11-01,ISSUED
NSH251110295,9740 West End Ave,REMODEL,164717,2025-09-13,ISSUED
NSH251110296,3269 Charlotte Ave,NEW CONSTRUCTION,450773,2025-11-14,ISSUED
NSH251110297,6050 Broadway,NEW CONSTRUCTION,58719,2025-09-01,ISSUED
NSH251110298,1429 Church St,ADDITION,72373,2025-09-30,ISSUED
NSH251110299,3214 Broadway,NEW CONSTRUCTION,203578,2025-10-28,ISSUED
NSH251110300,4464 Charlotte Ave,NEW CONSTRUCTION,388674,2025-11-08,ISSUED
NSH251110301,9702 Broadway,NEW CONSTRUCTION,235205,2025-10-23,ISSUED
NSH251110302,8036 Woodland St,ADDITION,147572,2025-10-26,ISSUED
NSH251110303,5034 West End Ave,REMODEL,101374,2025-09-02,ISSUED
NSH251110304,417 Broadway,REMODEL,270051,2025-09-24,ISSUED
NSH251110305,467 Charlotte Ave,NEW CONSTRUCTION,291207,2025-11-17,ISSUED
NSH251110306,3809 Woodland St,NEW CONSTRUCTION,118690,2025-09-08,ISSUED
NSH251110307,1043 Charlotte Ave,ADDITION,201206,2025-11-07,ISSUED
NSH251110308,8849 Church St,ADDITION,112192,2025-09-03,ISSUED
NSH251110309,8242 West End Ave,ADDITION,186139,2025-10-26,ISSUED
NSH251110310,3194 Charlotte Ave,REMODEL,76305,2025-10-22,ISSUED
NSH251110311,9055 Broadway,REMODEL,68350,2025-10-21,ISSUED
NSH251110312,7181 Church St,ADDITION,110821,2025-10-03,ISSUED
NSH251110313,1906 Woodland St,REMODEL,79419,2025-10-13,ISSUED
NSH251110314,1950 Woodland St,ADDITION,460019,2025-11-28,ISSUED
NSH251110315,8426 Woodland St,ADDITION,392563,2025-09-11,ISSUED
NSH251110316,2131 Woodland St,ADDITION,263235,2025-09-01,ISSUED
NSH251110317,8603 Woodland St,NEW CONSTRUCTION,82607,2025-09-27,ISSUED
NSH251110318,3411 Charlotte Ave,NEW CONSTRUCTION,313271,2025-11-11,ISSUED
NSH251110319,7095 Broadway,ADDITION,376109,2025-09-23,ISSUED
NSH251110320,3134 Woodland St,NEW CONSTRUCTION,424822,2025-11-03,ISSUED
NSH251110321,2503 Church St,NEW CONSTRUCTION,62673,2025-10-24,ISSUED
NSH251110322,6132 Woodland St,ADDITION,145923,2025-11-29,ISSUED
NSH251110323,3040 West End Ave,ADDITION,133657,2025-11-18,ISSUED
NSH251110324,7597 Charlotte Ave,ADDITION,83746,2025-09-17,ISSUED
NSH251110325,5141 West End Ave,REMODEL,388730,2025-11-28,ISSUED
NSH251110326,2557 Church St,REMODEL,93761,2025-09-27,ISSUED
NSH251110327,7154 Woodland St,ADDITION,102837,2025-09-16,ISSUED
NSH251110328,9363 Church St,REMODEL,53102,2025-09-24,ISSUED
NSH251110329,8814 Charlotte Ave,ADDITION,314490,2025-10-05,ISSUED
NSH251110330,6297 Woodland St,ADDITION,483286,2025-11-28,ISSUED
NSH251110331,8024 Woodland St,REMODEL,106301,2025-11-01,ISSUED
NSH251110332,5344 Woodland St,ADDITION,417037,2025-10-26,ISSUED
NSH251110333,8092 Woodland St,ADDITION,430137,2025-11-21,ISSUED
NSH251110334,7145 Church St,ADDITION,334924,2025-09-21,ISSUED
NSH251110335,9640 Charlotte Ave,ADDITION,480337,2025-09-28,ISSUED
NSH251110336,1910 Woodland St,ADDITION,272577,2025-09-13,ISSUED
NSH251110337,2252 Church St,NEW CONSTRUCTION,421757,2025-09-30,ISSUED
NSH251110338,843 West End Ave,NEW CONSTRUCTION,176617,2025-11-28,ISSUED
NSH251110339,7356 Charlotte Ave,ADDITION,212484,2025-11-15,ISSUED
NSH251110340,2961 Broadway,NEW CONSTRUCTION,54724,2025-10-04,ISSUED
NSH251110341,6603 Woodland St,NEW CONSTRUCTION,88455,2025-11-18,ISSUED
NSH251110342,219 Woodland St,REMODEL,458665,2025-11-19,ISSUED
NSH251110343,8603 Woodland St,REMODEL,493602,2025-11-01,ISSUED
NSH251110344,4604 Church St,REMODEL,209903,2025-11-24,ISSUED
NSH251110345,2650 Church St,NEW CONSTRUCTION,284467,2025-11-28,ISSUED
NSH251110346,5181 West End Ave,REMODEL,236543,2025-11-05,ISSUED
NSH251110347,110 Broadway,REMODEL,81248,2025-09-01,ISSUED
NSH251110348,3601 Woodland St,REMODEL,492852,2025-11-20,ISSUED
NSH251110349,3662 Woodland St,REMODEL,124752,2025-08-31,ISSUED
