permit_number,address,type,value,issued_date,status
HOU251110108,5908 Main St,ADDITION,186252,2025-09-26,ISSUED
HOU251110109,9299 Memorial Dr,NEW CONSTRUCTION,58739,2025-10-28,ISSUED
HOU251110110,6272 Richmond Ave,NEW CONSTRUCTION,280972,2025-10-17,ISSUED
HOU251110111,7598 Westheimer Rd,ADDITION,416978,2025-09-22,ISSUED
HOU251110112,1740 Shepherd Dr,NEW CONSTRUCTION,314244,2025-10-18,ISSUED
HOU251110113,2195 Main St,REMODEL,145058,2025-09-26,ISSUED
HOU251110114,4634 Kirby Dr,NEW CONSTRUCTION,246415,2025-10-06,ISSUED
HOU251110115,8011 Memorial Dr,NEW CONSTRUCTION,285509,2025-11-22,ISSUED
HOU251110116,919 Kirby Dr,NEW CONSTRUCTION,480013,2025-09-29,ISSUED
HOU251110117,2416 Richmond Ave,NEW CONSTRUCTION,355377,2025-11-28,ISSUED
HOU251110118,4777 Memorial Dr,ADDITION,55066,2025-11-11,ISSUED
HOU251110119,7087 Richmond Ave,ADDITION,460221,2025-09-13,ISSUED
HOU251110120,8412 Shepherd Dr,NEW CONSTRUCTION,469289,2025-10-09,ISSUED
HOU251110121,3410 Richmond Ave,ADDITION,395922,2025-09-18,ISSUED
HOU251110122,2552 Kirby Dr,ADDITION,419972,2025-11-17,ISSUED
HOU251110123,1491 Shepherd Dr,NEW CONSTRUCTION,452413,2025-10-25,ISSUED
HOU251110124,7828 Main St,ADDITION,397615,2025-10-01,ISSUED
HOU251110125,1812 Westheimer Rd,REMODEL,461270,2025-09-17,ISSUED
HOU251110126,198 Main St,REMODEL,216442,2025-11-19,ISSUED
HOU251110127,576 Westheimer Rd,REMODEL,344701,2025-11-05,ISSUED
HOU251110128,9513 Kirby Dr,ADDITION,399089,2025-09-07,ISSUED
HOU251110129,6246 Kirby Dr,ADDITION,297586,2025-11-02,ISSUED
HOU251110130,8208 Memorial Dr,ADDITION,66172,2025-11-28,ISSUED
HOU251110131,8635 Main St,ADDITION,268341,2025-09-16,ISSUED
HOU251110132,7262 Main St,ADDITION,499738,2025-10-04,ISSUED
HOU251110133,2304 Westheimer Rd,REMODEL,150000,2025-10-14,ISSUED
HOU251110134,2299 Westheimer Rd,REMODEL,102969,2025-09-29,ISSUED
HOU251110135,5251 Memorial Dr,NEW CONSTRUCTION,414026,2025-09-02,ISSUED
HOU251110136,8406 Kirby Dr,ADDITION,300447,2025-10-26,ISSUED
HOU251110137,1154 Richmond Ave,ADDITION,487816,2025-11-27,ISSUED
HOU251110138,1444 Kirby Dr,NEW CONSTRUCTION,458211,2025-10-18,ISSUED
HOU251110139,4215 Main St,ADDITION,382497,2025-10-27,ISSUED
HOU251110140,9652 Memorial Dr,REMODEL,375301,2025-10-26,ISSUED
HOU251110141,4374 Richmond Ave,NEW CONSTRUCTION,326662,2025-10-29,ISSUED
HOU251110142,795 Main St,NEW CONSTRUCTION,91226,2025-10-21,ISSUED
HOU251110143,4636 Memorial Dr,NEW CONSTRUCTION,259961,2025-11-25,ISSUED
HOU251110144,7045 Main St,ADDITION,299981,2025-11-17,ISSUED
HOU251110145,9523 Main St,ADDITION,196135,2025-10-31,ISSUED
HOU251110146,2090 Kirby Dr,NEW CONSTRUCTION,313424,2025-11-04,ISSUED
HOU251110147,7397 Westheimer Rd,REMODEL,236210,2025-10-18,ISSUED
HOU251110148,5553 Kirby Dr,NEW CONSTRUCTION,321866,2025-10-22,ISSUED
HOU251110149,7846 Richmond Ave,NEW CONSTRUCTION,261218,2025-11-28,ISSUED
HOU251110150,6254 Richmond Ave,NEW CONSTRUCTION,108453,2025-09-22,ISSUED
HOU251110151,7729 Main St,ADDITION,405170,2025-09-08,ISSUED
HOU251110152,4100 Richmond Ave,NEW CONSTRUCTION,85611,2025-11-23,ISSUED
HOU251110153,6804 Westheimer Rd,REMODEL,310888,2025-11-07,ISSUED
HOU251110154,9626 Memorial Dr,ADDITION,496722,2025-11-23,ISSUED
HOU251110155,2320 Main St,NEW CONSTRUCTION,175729,2025-10-09,ISSUED
HOU251110156,8246 Westheimer Rd,NEW CONSTRUCTION,318000,2025-10-19,ISSUED
HOU251110157,9680 Memorial Dr,NEW CONSTRUCTION,219942,2025-10-28,ISSUED
HOU251110158,7285 Shepherd Dr,ADDITION,272148,2025-09-28,ISSUED
HOU251110159,7437 Westheimer Rd,ADDITION,391823,2025-08-31,ISSUED
HOU251110160,7689 Kirby Dr,ADDITION,247575,2025-10-18,ISSUED
HOU251110161,2283 Kirby Dr,REMODEL,119206,2025-10-15,ISSUED
HOU251110162,6836 Memorial Dr,NEW CONSTRUCTION,302047,2025-10-27,ISSUED
HOU251110163,5033 Richmond Ave,REMODEL,466219,2025-09-24,ISSUED
HOU251110164,1436 Westheimer Rd,NEW CONSTRUCTION,86338,2025-09-11,ISSUED
HOU251110165,9082 Memorial Dr,REMODEL,94280,2025-09-22,ISSUED
HOU251110166,7608 Richmond Ave,NEW CONSTRUCTION,164059,2025-11-20,ISSUED
HOU251110167,5972 Kirby Dr,ADDITION,145224,2025-11-08,ISSUED
HOU251110168,4528 Shepherd Dr,ADDITION,315917,2025-11-07,ISSUED
HOU251110169,3000 Shepherd Dr,REMODEL,306777,2025-09-20,ISSUED
HOU251110170,6664 Westheimer Rd,NEW CONSTRUCTION,170818,2025-10-11,ISSUED
HOU251110171,1229 Westheimer Rd,NEW CONSTRUCTION,93250,2025-10-01,ISSUED
HOU251110172,3892 Memorial Dr,REMODEL,456007,2025-09-01,ISSUED
HOU251110173,8012 Kirby Dr,NEW CONSTRUCTION,181801,2025-09-20,ISSUED
HOU251110174,2818 Memorial Dr,ADDITION,441297,2025-10-08,ISSUED
HOU251110175,4832 Kirby Dr,ADDITION,444804,2025-10-18,ISSUED
HOU251110176,6154 Richmond Ave,ADDITION,369806,2025-10-31,ISSUED
HOU251110177,8517 Main St,REMODEL,462937,2025-09-24,ISSUED
HOU251110178,6737 Memorial Dr,REMODEL,356454,2025-11-07,ISSUED
HOU251110179,5026 Shepherd Dr,NEW CONSTRUCTION,139067,2025-10-24,ISSUED
HOU251110180,5861 Kirby Dr,REMODEL,368789,2025-11-14,ISSUED
HOU251110181,7299 Main St,NEW CONSTRUCTION,293264,2025-10-17,ISSUED
HOU251110182,3879 Richmond Ave,REMODEL,130781,2025-09-01,ISSUED
HOU251110183,7061 Shepherd Dr,NEW CONSTRUCTION,155108,2025-09-30,ISSUED
HOU251110184,2232 Shepherd Dr,NEW CONSTRUCTION,79243,2025-11-29,ISSUED
HOU251110185,5912 Shepherd Dr,NEW CONSTRUCTION,236582,2025-09-12,ISSUED
HOU251110186,1272 Memorial Dr,ADDITION,245640,2025-10-02,ISSUED
HOU251110187,8329 Westheimer Rd,REMODEL,348184,2025-10-29,ISSUED
HOU251110188,3380 Main St,ADDITION,106215,2025-11-29,ISSUED
HOU251110189,2606 Memorial Dr,NEW CONSTRUCTION,378297,2025-09-05,ISSUED
HOU251110190,4257 Westheimer Rd,NEW CONSTRUCTION,446525,2025-09-08,ISSUED
HOU251110191,4230 Shepherd Dr,NEW CONSTRUCTION,151449,2025-10-19,ISSUED
HOU251110192,5474 Westheimer Rd,REMODEL,113459,2025-11-21,ISSUED
HOU251110193,4103 Memorial Dr,REMODEL,306906,2025-09-19,ISSUED
HOU251110194,1236 Main St,REMODEL,88390,2025-10-23,ISSUED
HOU251110195,712 Main St,ADDITION,470636,2025-10-22,ISSUED
HOU251110196,5466 Memorial Dr,NEW CONSTRUCTION,267112,2025-11-05,ISSUED
HOU251110197,9228 Memorial Dr,NEW CONSTRUCTION,53814,2025-11-10,ISSUED
HOU251110198,639 Richmond Ave,NEW CONSTRUCTION,126545,2025-09-18,ISSUED
HOU251110199,7165 Shepherd Dr,ADDITION,303726,2025-09-06,ISSUED
HOU251110200,2451 Kirby Dr,NEW CONSTRUCTION,206554,2025-10-04,ISSUED
HOU251110201,3323 Richmond Ave,REMODEL,127001,2025-10-20,ISSUED
HOU251110202,8163 Memorial Dr,ADDITION,175604,2025-08-31,ISSUED
HOU251110203,5749 Westheimer Rd,NEW CONSTRUCTION,83617,2025-11-21,ISSUED
HOU251110204,3911 Kirby Dr,NEW CONSTRUCTION,81647,2025-10-19,ISSUED
HOU251110205,3402 Richmond Ave,ADDITION,223802,2025-09-05,ISSUED
HOU251110206,2148 Shepherd Dr,ADDITION,390514,2025-09-22,ISSUED
HOU251110207,4108 Westheimer Rd,REMODEL,335477,2025-11-02,ISSUED
HOU251110208,2782 Main St,REMODEL,232708,2025-09-24,ISSUED
HOU251110209,365 Shepherd Dr,REMODEL,174375,2025-10-19,ISSUED
HOU251110210,4164 Shepherd Dr,ADDITION,72418,2025-11-25,ISSUED
HOU251110211,6055 Shepherd Dr,REMODEL,186349,2025-10-23,ISSUED
HOU251110212,7675 Kirby Dr,REMODEL,176356,2025-09-08,ISSUED
HOU251110213,1656 Westheimer Rd,REMODEL,402959,2025-11-15,ISSUED
HOU251110214,9470 Main St,REMODEL,147182,2025-10-30,ISSUED
HOU251110215,1243 Shepherd Dr,NEW CONSTRUCTION,439593,2025-10-20,ISSUED
HOU251110216,9582 Richmond Ave,NEW CONSTRUCTION,71610,2025-10-26,ISSUED
HOU251110217,1651 Memorial Dr,ADDITION,395291,2025-10-02,ISSUED
HOU251110218,234 Memorial Dr,REMODEL,106060,2025-09-02,ISSUED
HOU251110219,2269 Shepherd Dr,NEW CONSTRUCTION,325681,2025-10-29,ISSUED
HOU251110220,6781 Westheimer Rd,ADDITION,437653,2025-11-01,ISSUED
HOU251110221,2902 Shepherd Dr,REMODEL,53870,2025-11-18,ISSUED
HOU251110222,4574 Shepherd Dr,ADDITION,400499,2025-09-01,ISSUED
HOU251110223,3950 Westheimer Rd,ADDITION,359737,2025-10-03,ISSUED
HOU251110224,4027 Kirby Dr,NEW CONSTRUCTION,446355,2025-09-06,ISSUED
HOU251110225,3199 Main St,REMODEL,110489,2025-10-20,ISSUED
HOU251110226,3757 Memorial Dr,REMODEL,408492,2025-10-27,ISSUED
HOU251110227,7298 Shepherd Dr,ADDITION,388299,2025-11-29,ISSUED
HOU251110228,7170 Shepherd Dr,NEW CONSTRUCTION,283508,2025-11-15,ISSUED
HOU251110229,644 Memorial Dr,ADDITION,263885,2025-09-05,ISSUED
HOU251110230,9341 Richmond Ave,ADDITION,414418,2025-08-31,ISSUED
HOU251110231,1497 Main St,NEW CONSTRUCTION,288745,2025-09-27,ISSUED
HOU251110232,1188 Westheimer Rd,REMODEL,141430,2025-11-22,ISSUED
HOU251110233,8344 Memorial Dr,REMODEL,462798,2025-10-15,ISSUED
HOU251110234,8506 Kirby Dr,ADDITION,211593,2025-09-18,ISSUED
HOU251110235,8200 Richmond Ave,ADDITION,120083,2025-11-07,ISSUED
HOU251110236,3767 Richmond Ave,ADDITION,398192,2025-10-02,ISSUED
HOU251110237,5381 Richmond Ave,NEW CONSTRUCTION,71088,2025-11-25,ISSUED
HOU251110238,8259 Main St,ADDITION,401909,2025-11-16,ISSUED
HOU251110239,546 Kirby Dr,ADDITION,174931,2025-09-20,ISSUED
HOU251110240,4569 Richmond Ave,ADDITION,179509,2025-11-25,ISSUED
HOU251110241,1485 Main St,NEW CONSTRUCTION,320456,2025-09-21,ISSUED
HOU251110242,2222 Kirby Dr,REMODEL,327278,2025-10-21,ISSUED
HOU251110243,7141 Shepherd Dr,NEW CONSTRUCTION,174437,2025-11-09,ISSUED
HOU251110244,9725 Shepherd Dr,NEW CONSTRUCTION,458955,2025-09-21,ISSUED
HOU251110245,7129 Memorial Dr,NEW CONSTRUCTION,331384,2025-11-12,ISSUED
HOU251110246,4772 Memorial Dr,REMODEL,154775,2025-10-26,ISSUED
HOU251110247,9398 Main St,REMODEL,295609,2025-11-06,ISSUED
HOU251110248,5238 Westheimer Rd,ADDITION,88120,2025-09-18,ISSUED
HOU251110249,634 Memorial Dr,NEW CONSTRUCTION,396084,2025-11-03,ISSUED
HOU251110250,4935 Memorial Dr,ADDITION,169509,2025-09-15,ISSUED
HOU251110251,4122 Kirby Dr,REMODEL,283237,2025-09-15,ISSUED
HOU251110252,7761 Kirby Dr,REMODEL,115248,2025-10-12,ISSUED
HOU251110253,6524 Richmond Ave,NEW CONSTRUCTION,155844,2025-11-17,ISSUED
HOU251110254,8473 Richmond Ave,NEW CONSTRUCTION,447504,2025-11-14,ISSUED
HOU251110255,5084 Kirby Dr,NEW CONSTRUCTION,406290,2025-09-30,ISSUED
HOU251110256,6838 Shepherd Dr,ADDITION,415871,2025-11-22,ISSUED
HOU251110257,3586 Richmond Ave,REMODEL,372808,2025-11-13,ISSUED
HOU251110258,3066 Shepherd Dr,REMODEL,346556,2025-11-01,ISSUED
HOU251110259,9320 Memorial Dr,ADDITION,487529,2025-10-08,ISSUED
HOU251110260,2220 Main St,ADDITION,69890,2025-09-06,ISSUED
HOU251110261,2561 Westheimer Rd,REMODEL,383742,2025-11-14,ISSUED
HOU251110262,7689 Main St,NEW CONSTRUCTION,104071,2025-09-17,ISSUED
HOU251110263,3010 Shepherd Dr,NEW CONSTRUCTION,343775,2025-09-11,ISSUED
HOU251110264,4801 Westheimer Rd,ADDITION,481119,2025-09-22,ISSUED
HOU251110265,497 Main St,REMODEL,213526,2025-10-07,ISSUED
HOU251110266,7838 Main St,NEW CONSTRUCTION,99217,2025-10-13,ISSUED
HOU251110267,9071 Richmond Ave,ADDITION,216560,2025-10-24,ISSUED
HOU251110268,6711 Kirby Dr,ADDITION,342721,2025-11-20,ISSUED
HOU251110269,5056 Shepherd Dr,REMODEL,280464,2025-10-13,ISSUED
HOU251110270,5739 Memorial Dr,NEW CONSTRUCTION,419082,2025-09-04,ISSUED
HOU251110271,4959 Westheimer Rd,NEW CONSTRUCTION,220523,2025-11-07,ISSUED
HOU251110272,844 Richmond Ave,NEW CONSTRUCTION,337947,2025-10-13,ISSUED
HOU251110273,6926 Kirby Dr,REMODEL,120858,2025-09-24,ISSUED
HOU251110274,9017 Richmond Ave,REMODEL,181761,2025-11-21,ISSUED
HOU251110275,8693 Westheimer Rd,NEW CONSTRUCTION,481324,2025-09-24,ISSUED
HOU251110276,6432 Shepherd Dr,NEW CONSTRUCTION,434424,2025-10-24,ISSUED
HOU251110277,9768 Richmond Ave,ADDITION,226635,2025-11-07,ISSUED
HOU251110278,8617 Main St,NEW CONSTRUCTION,187062,2025-10-12,ISSUED
HOU251110279,8827 Shepherd Dr,REMODEL,457924,2025-10-05,ISSUED
HOU251110280,1108 Main St,REMODEL,446594,2025-09-18,ISSUED
HOU251110281,4254 Main St,ADDITION,418402,2025-09-22,ISSUED
HOU251110282,9975 Richmond Ave,REMODEL,363023,2025-10-05,ISSUED
HOU251110283,9511 Westheimer Rd,ADDITION,393602,2025-09-03,ISSUED
HOU251110284,5452 Main St,ADDITION,207913,2025-09-01,ISSUED
HOU251110285,3312 Richmond Ave,NEW CONSTRUCTION,393506,2025-11-15,ISSUED
HOU251110286,1237 Westheimer Rd,REMODEL,57759,2025-11-22,ISSUED
HOU251110287,5928 Shepherd Dr,NEW CONSTRUCTION,257852,2025-10-29,ISSUED
HOU251110288,1382 Memorial Dr,NEW CONSTRUCTION,360254,2025-09-09,ISSUED
HOU251110289,8638 Richmond Ave,REMODEL,467031,2025-09-09,ISSUED
HOU251110290,4593 Shepherd Dr,NEW CONSTRUCTION,289650,2025-11-03,ISSUED
HOU251110291,3259 Memorial Dr,NEW CONSTRUCTION,405906,2025-11-12,ISSUED
HOU251110292,7606 Kirby Dr,REMODEL,248720,2025-09-09,ISSUED
HOU251110293,7827 Westheimer Rd,REMODEL,275002,2025-10-25,ISSUED
HOU251110294,4970 Shepherd Dr,NEW CONSTRUCTION,417943,2025-11-03,ISSUED
HOU251110295,1359 Richmond Ave,REMODEL,193045,2025-11-26,ISSUED
HOU251110296,4806 Main St,REMODEL,314553,2025-10-26,ISSUED
HOU251110297,1936 Memorial Dr,NEW CONSTRUCTION,199831,2025-11-06,ISSUED
HOU251110298,2212 Memorial Dr,ADDITION,440699,2025-11-09,ISSUED
HOU251110299,9031 Kirby Dr,REMODEL,469967,2025-10-19,ISSUED
HOU251110300,345 Kirby Dr,ADDITION,487257,2025-10-05,ISSUED
HOU251110301,6758 Memorial Dr,REMODEL,341555,2025-10-11,ISSUED
HOU251110302,8822 Westheimer Rd,ADDITION,74519,2025-11-28,ISSUED
HOU251110303,2587 Memorial Dr,ADDITION,169549,2025-11-17,ISSUED
HOU251110304,8865 Westheimer Rd,REMODEL,434547,2025-10-29,ISSUED
HOU251110305,1841 Shepherd Dr,ADDITION,269832,2025-10-28,ISSUED
HOU251110306,7405 Main St,ADDITION,366638,2025-11-11,ISSUED
HOU251110307,7281 Memorial Dr,REMODEL,458045,2025-11-07,ISSUED
HOU251110308,7334 Westheimer Rd,NEW CONSTRUCTION,257365,2025-10-25,ISSUED
HOU251110309,1639 Shepherd Dr,NEW CONSTRUCTION,87946,2025-10-02,ISSUED
HOU251110310,8358 Main St,NEW CONSTRUCTION,277344,2025-09-26,ISSUED
HOU251110311,148 Westheimer Rd,ADDITION,211456,2025-11-03,ISSUED
HOU251110312,8512 Main St,NEW CONSTRUCTION,422404,2025-09-15,ISSUED
HOU251110313,8081 Shepherd Dr,REMODEL,153873,2025-09-18,ISSUED
HOU251110314,2510 Westheimer Rd,REMODEL,145776,2025-11-12,ISSUED
HOU251110315,7195 Main St,REMODEL,128081,2025-10-01,ISSUED
HOU251110316,2600 Shepherd Dr,REMODEL,81333,2025-10-19,ISSUED
HOU251110317,2250 Memorial Dr,NEW CONSTRUCTION,184435,2025-10-15,ISSUED
HOU251110318,2452 Main St,ADDITION,401967,2025-11-16,ISSUED
HOU251110319,2177 Shepherd Dr,REMODEL,96605,2025-10-13,ISSUED
HOU251110320,3096 Memorial Dr,REMODEL,444103,2025-10-25,ISSUED
HOU251110321,5764 Kirby Dr,NEW CONSTRUCTION,78775,2025-09-24,ISSUED
HOU251110322,8010 Main St,ADDITION,243192,2025-10-22,ISSUED
HOU251110323,1756 Westheimer Rd,ADDITION,130241,2025-10-20,ISSUED
HOU251110324,3300 Shepherd Dr,REMODEL,499494,2025-10-03,ISSUED
HOU251110325,1651 Richmond Ave,NEW CONSTRUCTION,300817,2025-11-27,ISSUED
HOU251110326,3493 Kirby Dr,ADDITION,82258,2025-09-12,ISSUED
HOU251110327,4192 Westheimer Rd,NEW CONSTRUCTION,286491,2025-10-17,ISSUED
HOU251110328,7060 Main St,ADDITION,438915,2025-11-17,ISSUED
HOU251110329,1168 Main St,REMODEL,363595,2025-11-18,ISSUED
HOU251110330,8860 Memorial Dr,NEW CONSTRUCTION,318568,2025-09-25,ISSUED
HOU251110331,7096 Richmond Ave,REMODEL,408384,2025-09-28,ISSUED
HOU251110332,8576 Richmond Ave,ADDITION,93063,2025-11-18,ISSUED
