permit_number,issue_date,work_type,project_name,description,address,city,zip_code,owner_name,contractor,contractor_phone,estimated_cost,status,council_district
2025-148488 BP,2025-11-26,N/A,"Express - Full HVAC system replacement: gas furnace and condenser unit

Revision-Replacing the tub in the hall bathroom which includes: tub drain tiled surround over waterproofed hardboard shower valve new shower head and lever handle.","Express - Full HVAC system replacement: gas furnace and condenser unit

Revision-Replacing the tub in the hall bathroom which includes: tub drain tiled surround over waterproofed hardboard shower valve new shower head and lever handle.",2605 HARLEYHILL DR,Austin,N/A,N/A,N/A,6822348441,0,N/A,5
2025-149866 MP,2025-11-26,N/A,Replacement of complete existing central heat and air system with or without duct work LIKE FOR LIKE: 4T vertical two stage gas system,Replacement of complete existing central heat and air system with or without duct work LIKE FOR LIKE: 4T vertical two stage gas system,4002 GREYSTONE DR,Austin,N/A,N/A,N/A,5129299393,0,N/A,10
2025-150149 BP,2025-11-26,N/A,New pool,New pool,1804 ULLRICH AVE,Austin,N/A,N/A,N/A,5126691455,0,N/A,7
2024-073727 PP,2025-11-26,N/A,New construction in-ground pool and spa.,New construction in-ground pool and spa.,1504 WEST LYNN ST,Austin,N/A,N/A,N/A,5124339472,0,N/A,10
2025-150970 BP,2025-11-26,N/A,Outdoor shower with cover and outdoor kitchen grill with counter (no sink) with cover. Inground pool spa and concrete deck.,Outdoor shower with cover and outdoor kitchen grill with counter (no sink) with cover. Inground pool spa and concrete deck.,7916 TEXAS PLUME RD,Austin,N/A,N/A,N/A,5128354966,0,N/A,10
2025-146853 PP,2025-11-26,N/A,New Construction Plumbing 2278 sq. ft. ETJ,New Construction Plumbing 2278 sq. ft. ETJ,14128 EDNA MAXINE WALK,Austin,N/A,N/A,N/A,5129907200,0,N/A,N/A
2025-150278 EP,2025-11-26,N/A,Install new 11.04 kW DC rooftop solar system to existing residential,Install new 11.04 kW DC rooftop solar system to existing residential,4807 PLACID PL,Austin,N/A,N/A,N/A,5124765555,0,N/A,7
2025-150054 MP,2025-11-26,N/A,Replacement of complete existing central heat and air system with or without duct work 1 system: 3 ton 16 Seer Gas,Replacement of complete existing central heat and air system with or without duct work 1 system: 3 ton 16 Seer Gas,4912 SARA DR UNIT A,Austin,N/A,N/A,N/A,5122725000,0,N/A,3
2025-149566 PP,2025-11-26,N/A,Irrigation for lawn,Irrigation for lawn,9221 FURMAN DR,Austin,N/A,N/A,N/A,N/A,0,N/A,2
2025-150948 BP,2025-11-26,N/A,"Total demolition of detached garage 224 sq ft circa 2015
***The building shall not be demolished until after the contractor has fulfilled the neighbor notification requirements outlined in Steps 5 & 6 of the Demolition webpage.***","Total demolition of detached garage 224 sq ft circa 2015
***The building shall not be demolished until after the contractor has fulfilled the neighbor notification requirements outlined in Steps 5 & 6 of the Demolition webpage.***",4517 AVENUE H,Austin,N/A,N/A,N/A,5129179511,224.0,N/A,9
2025-147027 BP,2025-11-26,N/A,EXPRESS: Interior non-structural exploration demo and remodel remove drywall and fixtures,EXPRESS: Interior non-structural exploration demo and remodel remove drywall and fixtures,3210 BRYKER DR,Austin,N/A,N/A,N/A,5122104151,0,N/A,10
2025-042217 EP,2025-11-26,N/A,Bldg 1: (1 of 2 Units) New 2 story residence with 4 bedroom 4.5 bathroom with attached 1-car carport. work to include 2nd floor deck.,Bldg 1: (1 of 2 Units) New 2 story residence with 4 bedroom 4.5 bathroom with attached 1-car carport. work to include 2nd floor deck.,309 FRANKLIN BLVD BLDG 1,Austin,N/A,N/A,N/A,5128004432,0,N/A,9
2024-128976 MP,2025-11-26,N/A,"Finish Out for Hotel Rooms Housekeeping Hydration station and Electrical/IDF Room

Floor 5","Finish Out for Hotel Rooms Housekeeping Hydration station and Electrical/IDF Room

Floor 5",311 E 5TH ST,Austin,N/A,N/A,N/A,5122829691,0,N/A,9
2025-148888 BP,2025-11-26,N/A,"ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [5bed 5bath]. Unit B

THIS PROJECT TO BE COMBINED WITH 3305 HEMLOCK VIA UDA.","ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [5bed 5bath]. Unit B

THIS PROJECT TO BE COMBINED WITH 3305 HEMLOCK VIA UDA.",3213 WALNUT AVE UNIT B,Austin,N/A,N/A,N/A,9793938843,0,N/A,9
2023-082189 PP,2025-11-26,N/A,*Addressing active code violation* Addition/ remodel to existing 1-story single family residential to include: addition to existing garage new full bath covered front porch rear screened patio; 2nd floor addition to include game room full bath balcony and roof top deck.,*Addressing active code violation* Addition/ remodel to existing 1-story single family residential to include: addition to existing garage new full bath covered front porch rear screened patio; 2nd floor addition to include game room full bath balcony and roof top deck.,8169 CEBERRY DR,Austin,N/A,N/A,N/A,5127878228,2329.0,N/A,10
2025-134561 BP,2025-11-26,N/A,New inground swimming pool and concrete decking w/ reqd enclosure device for existing 2-story single family residence.,New inground swimming pool and concrete decking w/ reqd enclosure device for existing 2-story single family residence.,9205 THE RAVINE WAY,Austin,N/A,N/A,N/A,5127509522,0,N/A,2
2025-151556 PP,2025-11-26,N/A,PRV Install at Riser Room - Building 18,PRV Install at Riser Room - Building 18,9807 N FM 620 RD BLDG 18,Austin,N/A,N/A,N/A,2147646965,0,N/A,10
2025-140755 BP,2025-11-26,N/A,Converting existing covered balcony into habitable space adding bedrooms and bathrooms,Converting existing covered balcony into habitable space adding bedrooms and bathrooms,2808 SAN PEDRO ST,Austin,N/A,N/A,N/A,5128016344,0,N/A,9
2025-151558 PP,2025-11-26,N/A,PRV Install at Riser Room - Building 19,PRV Install at Riser Room - Building 19,9807 N FM 620 RD BLDG 19,Austin,N/A,N/A,N/A,2147646965,0,N/A,10
2025-151543 PP,2025-11-26,N/A,PRV Install at Riser Room - Building 16,PRV Install at Riser Room - Building 16,9807 N FM 620 RD BLDG 16,Austin,N/A,N/A,N/A,2147646965,0,N/A,10
2025-149473 EP,2025-11-26,N/A,"We will install a 10.375KW roof mounted solar system.
Homeowner has a 4.5KW DC Sunnyboy 3.8KW AC Inverter Installed. We are replacing 20yr. old system with new 10.375KW system. 
PV meter has been installed we will upgrade meter can size to a modern AE approved bypass handle meter socket. 
Homeowners 1st solar system permit # 2005-009172 EP.","We will install a 10.375KW roof mounted solar system.
Homeowner has a 4.5KW DC Sunnyboy 3.8KW AC Inverter Installed. We are replacing 20yr. old system with new 10.375KW system. 
PV meter has been installed we will upgrade meter can size to a modern AE approved bypass handle meter socket. 
Homeowners 1st solar system permit # 2005-009172 EP.",5828 GENTLE BREEZE TER,Austin,N/A,N/A,N/A,5129021825,0,N/A,10
2025-151034 BP,2025-11-26,N/A,Bldg. 1 Unit B: New construction 3-unit use duplex residential  3-story 4 bedroom 3.5 bath with covered front porch covered rear patio 3rd floor balcony and uncovered roof top deck.,Bldg. 1 Unit B: New construction 3-unit use duplex residential  3-story 4 bedroom 3.5 bath with covered front porch covered rear patio 3rd floor balcony and uncovered roof top deck.,1813 E 38TH HALF ST BLDG 1 UNIT 1B,Austin,N/A,N/A,N/A,6047547802,0,N/A,9
2025-149486 BP,2025-11-26,N/A,Installation of High-pile Racking,Installation of High-pile Racking,2301 E ST ELMO RD BLDG 2 UNIT 200,Austin,N/A,N/A,N/A,9724582680,0,N/A,2
2025-151020 BP,2025-11-26,N/A,Total Demo of SFR 720 sqft circa 1957,Total Demo of SFR 720 sqft circa 1957,4521 AVENUE D,Austin,N/A,N/A,N/A,7372916077,1.0,N/A,9
2025-151035 BP,2025-11-26,N/A,Bldg 2:  New construction 3-unit use single-family residential  3-story 3 bedroom 2.5 bath with attached 1-car carport covered front porch covered rear patio 3rd floor balcony and uncovered roof top deck.,Bldg 2:  New construction 3-unit use single-family residential  3-story 3 bedroom 2.5 bath with attached 1-car carport covered front porch covered rear patio 3rd floor balcony and uncovered roof top deck.,1813 E 38TH HALF ST BLDG 2,Austin,N/A,N/A,N/A,6047547802,0,N/A,9
2025-100090 EP,2025-11-26,N/A,Remove teacher restroom. Install new fixtures new partitions relocate hand sink upgrade lighting to LED remove tile. Polish concrete floor,Remove teacher restroom. Install new fixtures new partitions relocate hand sink upgrade lighting to LED remove tile. Polish concrete floor,7300 HART LN,Austin,N/A,N/A,N/A,5122380484,0,N/A,10
2025-151477 BP,2025-11-26,N/A,Total Demo of Detached Carport 576 sqft,Total Demo of Detached Carport 576 sqft,4207 WOODWAY DR,Austin,N/A,N/A,N/A,5124534646,1.0,N/A,10
2025-120557 PP,2025-11-26,N/A,Demolish Interior Non-Load Bearing Walls Remove Existing Finishes Construct New Interior Non-Loadbearing Walls New Office (Accessory) New Employee Workspace Renovate Existing Restroom,Demolish Interior Non-Load Bearing Walls Remove Existing Finishes Construct New Interior Non-Loadbearing Walls New Office (Accessory) New Employee Workspace Renovate Existing Restroom,3851 AIRPORT BLVD UNIT 101,Austin,N/A,N/A,N/A,5125172508,0,N/A,9
2025-148208 BP,2025-11-26,N/A,Occupant Load Increase,Occupant Load Increase,4824 E CESAR CHAVEZ ST,Austin,N/A,N/A,N/A,5122202340,0,N/A,3
2025-150049 MP,2025-11-26,N/A,Replacement of complete existing central heat and air system with or without duct work 1 system: 2 ton 16 Seer Gas,Replacement of complete existing central heat and air system with or without duct work 1 system: 2 ton 16 Seer Gas,5306 GLADSTONE DR,Austin,N/A,N/A,N/A,5122725000,0,N/A,1
2025-150229 EP,2025-11-26,N/A,- Install new 6.525 kw rooftop solar system and 13.5 kw energy storage system for existing residential only.,- Install new 6.525 kw rooftop solar system and 13.5 kw energy storage system for existing residential only.,7801 NORTHWEST DR BLDG 1,Austin,N/A,N/A,N/A,8005042337,0,N/A,7
2025-133103 BP,2025-11-26,N/A,"Addition

Installing a swimspa pool that will have a concrete pad underneath. The pool info/dimensions etc are attached to this application. Expanding current patio concrete pad from 200 to 400 sq ft. Installing a covered patio which will be attached to the house over the concrete pad. Structural drawings attached.","Addition

Installing a swimspa pool that will have a concrete pad underneath. The pool info/dimensions etc are attached to this application. Expanding current patio concrete pad from 200 to 400 sq ft. Installing a covered patio which will be attached to the house over the concrete pad. Structural drawings attached.",8321 SHALLOT WAY,Austin,N/A,N/A,N/A,512,0,N/A,2
2025-061445 MP,2025-11-26,N/A,Interior Remodel Finish Out Dental Office,Interior Remodel Finish Out Dental Office,2201 AIRPORT BLVD UNIT 130,Austin,N/A,N/A,N/A,5126509237,0,N/A,1
2025-133103 PP,2025-11-26,N/A,"Addition

Installing a swimspa pool that will have a concrete pad underneath. The pool info/dimensions etc are attached to this application. Expanding current patio concrete pad from 200 to 400 sq ft. Installing a covered patio which will be attached to the house over the concrete pad. Structural drawings attached.","Addition

Installing a swimspa pool that will have a concrete pad underneath. The pool info/dimensions etc are attached to this application. Expanding current patio concrete pad from 200 to 400 sq ft. Installing a covered patio which will be attached to the house over the concrete pad. Structural drawings attached.",8321 SHALLOT WAY,Austin,N/A,N/A,N/A,5125633548,1973.0,N/A,2
2025-149541 EP,2025-11-26,N/A,Install new 11.5kwac Tesla PW3 to existing 4.07kwdc rooftop solar system. PW3 integrated inverter is not replacing the existing 3.8 SMA inverter.,Install new 11.5kwac Tesla PW3 to existing 4.07kwdc rooftop solar system. PW3 integrated inverter is not replacing the existing 3.8 SMA inverter.,16720 SONOMA BREEZE DR,Austin,N/A,N/A,N/A,5122984086,0,N/A,1
2025-150328 BP,2025-11-26,N/A,Remodel existing retail,Remodel existing retail,907 W 5TH ST UNIT 103,Austin,N/A,N/A,N/A,5127758565,0,N/A,9
2025-151529 PP,2025-11-26,N/A,1360BL NEW 1 STORY 3 BEDROOM 2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO,1360BL NEW 1 STORY 3 BEDROOM 2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO,12110 CANTABRIA RD,Austin,N/A,N/A,N/A,5129907200,0,N/A,5
2025-151801 BP,2025-11-26,N/A,Express- Replace 12 existing windows - size for size,Express- Replace 12 existing windows - size for size,3424 SAVAGE SPRINGS DR,Austin,N/A,N/A,N/A,9365259517,0,N/A,1
2025-150955 BP,2025-11-26,N/A,"Total demolition of single-story SFR 1115 sq ft circa 1959
***The building shall not be demolished until after the contractor has fulfilled the neighbor notification requirements outlined in Steps 5 & 6 of the Demolition webpage.***","Total demolition of single-story SFR 1115 sq ft circa 1959
***The building shall not be demolished until after the contractor has fulfilled the neighbor notification requirements outlined in Steps 5 & 6 of the Demolition webpage.***",4601 PARKDALE PL,Austin,N/A,N/A,N/A,5123367665,1115.0,N/A,5
2025-146846 PP,2025-11-26,N/A,New Construction Plumbing 1463 sq. ft. ETJ,New Construction Plumbing 1463 sq. ft. ETJ,14130 EDNA MAXINE WALK,Austin,N/A,N/A,N/A,5129907200,0,N/A,N/A
2023-131239 DS,2025-11-26,N/A,Construct new driveway approach of 20 FT.,Construct new driveway approach of 20 FT.,11507 SIERRA NEVADA,Austin,N/A,N/A,N/A,5123630182,0,N/A,10
2025-151645 BP,2025-11-26,N/A,Express- Replace 2 existing windows - size for size,Express- Replace 2 existing windows - size for size,3922 LEAFIELD DR,Austin,N/A,N/A,N/A,9365259517,0,N/A,8
2025-151560 PP,2025-11-26,N/A,PRV Install at Riser Room - Building 21,PRV Install at Riser Room - Building 21,9807 N FM 620 RD BLDG 21,Austin,N/A,N/A,N/A,2147646965,0,N/A,10
2025-150396 PP,2025-11-26,N/A,Replacement of an existing water heater 40gal gas water heater located in a utility closet,Replacement of an existing water heater 40gal gas water heater located in a utility closet,7213 FIREOAK DR,Austin,N/A,N/A,N/A,5129299393,0,N/A,10
2024-044186 BP,2025-11-26,N/A,New pool,New pool,2013 HOLLAND AVE,Austin,N/A,N/A,N/A,5128443873,0,N/A,5
2025-150525 BP,2025-11-26,N/A,Express - Remove and replace windows (same size) no structural changes. Remove and replace exterior siding and trim,Express - Remove and replace windows (same size) no structural changes. Remove and replace exterior siding and trim,2914 DOVER PL,Austin,N/A,N/A,N/A,5126952833,0,N/A,7
2025-087783 EP,2025-11-26,N/A,Gym remodel: Remove 2 existing roof rafters and 1 existing bean install 2 posts each side of the wall install new beam across the total length of the room as per engineers design.  Open roughly framing and install new window approximately 2x3. Run new AC ducts from the closet outlet and install new grills. Run wires and add 1 new outlet,Gym remodel: Remove 2 existing roof rafters and 1 existing bean install 2 posts each side of the wall install new beam across the total length of the room as per engineers design.  Open roughly framing and install new window approximately 2x3. Run new AC ducts from the closet outlet and install new grills. Run wires and add 1 new outlet,12400 MERCURY LN,Austin,N/A,N/A,N/A,9567712747,0.0,N/A,7
2025-121180 EP,2025-11-26,N/A,INTERIOR REMODEL & CHANGE OF USE ADMIN OFFICE TO PERSONAL IMPROVEMENT SERVICES,INTERIOR REMODEL & CHANGE OF USE ADMIN OFFICE TO PERSONAL IMPROVEMENT SERVICES,2330 S LAMAR BLVD UNIT 107,Austin,N/A,N/A,N/A,5127921031,0,N/A,5
2025-149558 MP,2025-11-26,N/A,Replacement of complete existing central heat and air system with or without duct work,Replacement of complete existing central heat and air system with or without duct work,2666 BARTON HILLS DR,Austin,N/A,N/A,N/A,5126374237,0,N/A,5
2025-150494 BP,2025-11-26,N/A,Combing Duplex units together at 3801and 3803Island Way - Combing into one single family residential home. 3 floors with a rooftop on the 4th floor,Combing Duplex units together at 3801and 3803Island Way - Combing into one single family residential home. 3 floors with a rooftop on the 4th floor,3801 ISLAND WAY,Austin,N/A,N/A,N/A,8173713524,0,N/A,8
2025-150148 BP,2025-11-26,N/A,ePlan: Residential Expedited Review - Addition/Rem of an existing 1-Story Single Family Res. [4bed 3bath] work to include 1st floor rear addition with portion of existing home converting to garage,ePlan: Residential Expedited Review - Addition/Rem of an existing 1-Story Single Family Res. [4bed 3bath] work to include 1st floor rear addition with portion of existing home converting to garage,1804 ULLRICH AVE,Austin,N/A,N/A,N/A,5126691455,0,N/A,7
2025-150301 EP,2025-11-26,N/A,"Tpole for construction 

Ref. 2025-148312 BP","Tpole for construction 

Ref. 2025-148312 BP",3213 WALNUT AVE,Austin,N/A,N/A,N/A,5129543000,0,N/A,9
2025-149258 MP,2025-11-26,N/A,Replacement of complete existing central heat and air system with or without duct work Arrian Mehis,Replacement of complete existing central heat and air system with or without duct work Arrian Mehis,10408 LOCKERBIE DR,Austin,N/A,N/A,N/A,5123333000,0,N/A,6
2025-150003 BP,2025-11-26,N/A,Express- foundation repair,Express- foundation repair,2005 EXPOSITION BLVD,Austin,N/A,N/A,N/A,2106481560,0,N/A,10
2025-149890 EP,2025-11-26,N/A,Upgrade underground main electrical service from 150amps to 200amps.,Upgrade underground main electrical service from 150amps to 200amps.,7103 WHEELER BRANCH TRL,Austin,N/A,N/A,N/A,5126614132,0,N/A,8
2025-124756 MP,2025-11-26,N/A,*Partial Demo* Interior remodel of two-story SFR,*Partial Demo* Interior remodel of two-story SFR,1603 SUFFOLK DR,Austin,N/A,N/A,N/A,5123546497,0.0,N/A,4
2025-146672 PP,2025-11-26,N/A,"Total demo of SFR 1415 sq ft circa 1950

***The building shall not be demolished until after the contractor has fulfilled the neighbor notification requirements outlined in Steps 5 & 6 of the Demolition webpage.***","Total demo of SFR 1415 sq ft circa 1950

***The building shall not be demolished until after the contractor has fulfilled the neighbor notification requirements outlined in Steps 5 & 6 of the Demolition webpage.***",4808 WEST PARK DR,Austin,N/A,N/A,N/A,5127878228,1415.0,N/A,7
2025-149064 PP,2025-11-26,N/A,Connect Mobile Home and add decks (8x8 and 4x4),Connect Mobile Home and add decks (8x8 and 4x4),5701 JOHNNY MORRIS RD UNIT 43,Austin,N/A,N/A,N/A,5126709531,0,N/A,1
2025-151773 BP,2025-11-26,N/A,Express - replace 16 existing windows- size for size,Express - replace 16 existing windows- size for size,11732 DAY CAMP LN,Austin,N/A,N/A,N/A,9365259517,0,N/A,1
2025-061446 PP,2025-11-26,N/A,Interior Remodel Finish Out Dental Office,Interior Remodel Finish Out Dental Office,2201 AIRPORT BLVD UNIT 130,Austin,N/A,N/A,N/A,5126307548,0,N/A,1
2025-149780 PP,2025-11-26,N/A,Installing Tankless G water heater,Installing Tankless G water heater,12611 ANDROMEDA CV,Austin,N/A,N/A,N/A,5128379500,0,N/A,7
2025-150492 EP,2025-11-26,N/A,New 200 amps service 120/240v,New 200 amps service 120/240v,5705 BLAZEWOOD DR,Austin,N/A,N/A,N/A,5125778941512,0,N/A,N/A
2025-151540 PP,2025-11-26,N/A,PRV Install at Riser Room - Building 15,PRV Install at Riser Room - Building 15,9807 N FM 620 RD BLDG 15,Austin,N/A,N/A,N/A,2147646965,0,N/A,10
2025-149165 EP,2025-11-26,N/A,Pool 28x15ft with an inside spa 8x13ft. Gas heater and autofil,Pool 28x15ft with an inside spa 8x13ft. Gas heater and autofil,3405 CAMBRIDGE CT UNIT B,Austin,N/A,N/A,N/A,5126364984,0,N/A,1
2025-148312 BP,2025-11-26,N/A,"ePlan: Residential Expedited Review - New THREE UNIT RES.
New construction of a 2-Story Duplex [1bed 1bath] with attached Garage. 3213 WALNUT AVE Unit A
New construction of a 2-Story Duplex [5bed 5bath]. 3213 WALNUT AVE Unit B

THIS PROJECT TO BE COMBINED WITH 3305 HEMLOCK VIA UDA.","ePlan: Residential Expedited Review - New THREE UNIT RES.
New construction of a 2-Story Duplex [1bed 1bath] with attached Garage. 3213 WALNUT AVE Unit A
New construction of a 2-Story Duplex [5bed 5bath]. 3213 WALNUT AVE Unit B

THIS PROJECT TO BE COMBINED WITH 3305 HEMLOCK VIA UDA.",3213 WALNUT AVE UNIT A,Austin,N/A,N/A,N/A,9793938843,0,N/A,9
2025-150960 PP,2025-11-26,N/A,Replacement of an existing water heater replacing like for like electric water heater,Replacement of an existing water heater replacing like for like electric water heater,1100 E HOWARD LN BLDG 6 UNIT 600,Austin,N/A,N/A,N/A,5126754420,0,N/A,7
2025-150651 BP,2025-11-26,N/A,Express: Remove and replace siding and windows,Express: Remove and replace siding and windows,3107 BESSIE AVE,Austin,N/A,N/A,N/A,5129396024,0,N/A,2
2025-150234 EP,2025-11-26,N/A,Disconnect/reconnect to tie in pv/ESS components. We are not upgrading the size of the service not upgrading the meter size.,Disconnect/reconnect to tie in pv/ESS components. We are not upgrading the size of the service not upgrading the meter size.,7801 NORTHWEST DR BLDG 1,Austin,N/A,N/A,N/A,8005042337,0,N/A,7
2025-151134 BP,2025-11-26,N/A,EXPRESS: 1690 sq ft decking removal and replacement,EXPRESS: 1690 sq ft decking removal and replacement,5311 PEACEDALE LN,Austin,N/A,N/A,N/A,6783785123,0,N/A,4
2025-148346 BP,2025-11-26,N/A,express - foundation repair,express - foundation repair,3832 SENDERO DR,Austin,N/A,N/A,N/A,2106481560,0,N/A,8
2025-150338 BP,2025-11-26,N/A,New 2-story SFR with 4 bedrooms and 3 bathrooms and a attached single car garage with a guest suite above,New 2-story SFR with 4 bedrooms and 3 bathrooms and a attached single car garage with a guest suite above,813 W OLTORF ST,Austin,N/A,N/A,N/A,5127910932,0,N/A,3
2025-151502 BP,2025-11-26,N/A,express - repainting interior of the house. resetting 2 clawfoot tubs 2 pedestal sinks and 2 toilets. resetting kitchen countertops dishwasher stove and sink. replacing 800 sqft of drywall 900 sqft of crawlspace insulation 500 sqft of exterior wall insulation lower kitchen cabinets 900 sqft of wood flooring and 150 sqft of tile flooring and 16 stairs - treads and risers.,express - repainting interior of the house. resetting 2 clawfoot tubs 2 pedestal sinks and 2 toilets. resetting kitchen countertops dishwasher stove and sink. replacing 800 sqft of drywall 900 sqft of crawlspace insulation 500 sqft of exterior wall insulation lower kitchen cabinets 900 sqft of wood flooring and 150 sqft of tile flooring and 16 stairs - treads and risers.,4102 AVENUE A,Austin,N/A,N/A,N/A,4133879382,0,N/A,9
2025-149458 EP,2025-11-26,N/A,Installation of 10.12kw Solar PV system with Battery Backup.,Installation of 10.12kw Solar PV system with Battery Backup.,8010 LITTLE DEER XING,Austin,N/A,N/A,N/A,5129347478,0,N/A,8
2025-149860 MP,2025-11-26,N/A,Replacement of complete existing central heat and air system with or without duct work no ductwork,Replacement of complete existing central heat and air system with or without duct work no ductwork,9102 WESTERKIRK DR,Austin,N/A,N/A,N/A,5123713833,0,N/A,6
2025-149042 EP,2025-11-26,N/A,Install new 4.51 kwdc rooftop solar system servicing new residential only,Install new 4.51 kwdc rooftop solar system servicing new residential only,9713 PETRICHOR BLVD,Austin,N/A,N/A,N/A,5122984086,0,N/A,1
2025-133103 EP,2025-11-26,N/A,"Addition

Installing a swimspa pool that will have a concrete pad underneath. The pool info/dimensions etc are attached to this application. Expanding current patio concrete pad from 200 to 400 sq ft. Installing a covered patio which will be attached to the house over the concrete pad. Structural drawings attached.","Addition

Installing a swimspa pool that will have a concrete pad underneath. The pool info/dimensions etc are attached to this application. Expanding current patio concrete pad from 200 to 400 sq ft. Installing a covered patio which will be attached to the house over the concrete pad. Structural drawings attached.",8321 SHALLOT WAY,Austin,N/A,N/A,N/A,5127365872,1973.0,N/A,2
2025-147289 PP,2025-11-26,N/A,Replacement of an existing water heater Replace existing water heater,Replacement of an existing water heater Replace existing water heater,7517 ROBERT KLEBURG LN,Austin,N/A,N/A,N/A,5129007676,0,N/A,8
2025-151210 BP,2025-11-26,N/A,Express: foundation repair,Express: foundation repair,7300 AVA LN,Austin,N/A,N/A,N/A,2104955758,0,N/A,1
2025-101048 PP,2025-11-26,N/A,New construction in-ground pool and spa.,New construction in-ground pool and spa.,7 PASCAL LN,Austin,N/A,N/A,N/A,5127057362,0,N/A,10
2025-141771 BP,2025-11-26,N/A,Interior Remodel,Interior Remodel,5810 MARCHMONT LN,Austin,N/A,N/A,N/A,7377755539,0,N/A,8
2025-151768 BP,2025-11-26,N/A,Express: Remove and replace 2 windows (like for like),Express: Remove and replace 2 windows (like for like),2619 W 45TH ST,Austin,N/A,N/A,N/A,9082976873,0,N/A,10
