permit_number,issue_date,work_type,project_name,description,address,city,zip_code,owner_name,contractor,contractor_phone,estimated_cost,status,council_district
NSH251110018,2025-11-03,PLUMBING,Plumbing Project,PLUMBING at 5194 Nolensville Pike,5194 Nolensville Pike,Nashville,37208,Brown Holdings,Music City Construction,(615) 777-1045,48436,APPROVED,34
NSH251110019,2025-11-15,ELECTRICAL,Electrical Project,ELECTRICAL at 5145 Murfreesboro Pike,5145 Murfreesboro Pike,Nashville,37205,Miller Construction,Franklin Construction,(615) 388-2411,61657,ISSUED,34
NSH251110020,2025-11-27,ELECTRICAL,Electrical Project,ELECTRICAL at 9228 Dickerson Pike,9228 Dickerson Pike,Nashville,37206,Martinez LLC,Nashville Home Improvement,N/A,76379,ISSUED,3
NSH251110021,2025-11-20,ADDITION,Addition Project,ADDITION at 5320 Murfreesboro Pike,5320 Murfreesboro Pike,Nashville,37206,Anderson Group,Green Hills Builders,(615) 851-1540,59772,PENDING,6
NSH251110022,2025-11-02,ALTERATION,Alteration Project,ALTERATION at 9414 Broadway,9414 Broadway,Nashville,37211,Miller Construction,N/A,(615) 811-5592,12505,FINAL,21
NSH251110023,2025-11-12,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 6278 Franklin Pike,6278 Franklin Pike,Nashville,37206,Martinez LLC,Nashville Builders LLC,(615) 728-9607,1655194,APPROVED,7
NSH251110024,2025-11-27,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 4460 Lebanon Pike,4460 Lebanon Pike,Nashville,37208,Smith Development LLC,Volunteer State Contractors,N/A,216792,ISSUED,7
NSH251010025,2025-10-31,REPAIR,Repair Project,REPAIR at 4842 Church St,4842 Church St,Nashville,37215,Johnson Properties,N/A,(615) 572-4843,85527,ISSUED,4
NSH251110026,2025-11-13,ROOFING,Roofing Project,ROOFING at 2839 Murfreesboro Pike,2839 Murfreesboro Pike,Nashville,37212,Brown Holdings,N/A,N/A,13691,FINAL,1
NSH251110027,2025-11-17,DEMOLITION,Demolition Project,DEMOLITION at 4178 Broadway,4178 Broadway,Nashville,37215,Martinez LLC,Brentwood Builders Inc,(615) 458-4549,65309,ISSUED,35
NSH251110028,2025-11-22,ALTERATION,Alteration Project,ALTERATION at 2529 West End Ave,2529 West End Ave,Nashville,37215,Brown Holdings,N/A,(615) 447-9433,57766,PENDING,3
NSH251110029,2025-11-06,REMODEL,Remodel Project,REMODEL at 391 Broadway,391 Broadway,Nashville,37205,Anderson Group,Nashville Home Improvement,N/A,324422,PENDING,5
NSH251110030,2025-11-23,REPAIR,Repair Project,REPAIR at 4316 Charlotte Ave,4316 Charlotte Ave,Nashville,37212,Thomas Enterprises,Volunteer State Contractors,N/A,82724,APPROVED,21
NSH251110031,2025-11-13,PLUMBING,Plumbing Project,PLUMBING at 4410 Murfreesboro Pike,4410 Murfreesboro Pike,Nashville,37208,Davis Investments,Cumberland Construction Co,N/A,58301,PENDING,20
NSH251110032,2025-11-25,RESIDENTIAL,Residential Project,RESIDENTIAL at 2610 Charlotte Ave,2610 Charlotte Ave,Nashville,37206,Williams Ventures,Music City Construction,(615) 703-4257,66632,PENDING,7
NSH251110033,2025-11-08,PLUMBING,Plumbing Project,PLUMBING at 3705 Church St,3705 Church St,Nashville,37209,Anderson Group,Tennessee Premier Builders,N/A,86860,PENDING,22
NSH251110034,2025-11-01,PLUMBING,Plumbing Project,PLUMBING at 7394 Broadway,7394 Broadway,Nashville,37211,Brown Holdings,Cumberland Construction Co,N/A,73443,APPROVED,4
NSH251110035,2025-11-12,REPAIR,Repair Project,REPAIR at 1882 Church St,1882 Church St,Nashville,37211,Johnson Properties,N/A,N/A,77625,FINAL,3
NSH251110036,2025-11-10,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 7223 Charlotte Ave,7223 Charlotte Ave,Nashville,37204,Davis Investments,Volunteer State Contractors,(615) 790-6663,1663853,PENDING,21
NSH251110037,2025-11-09,PLUMBING,Plumbing Project,PLUMBING at 2549 West End Ave,2549 West End Ave,Nashville,37203,Smith Development LLC,Brentwood Builders Inc,(615) 769-6483,72319,FINAL,3
NSH251110038,2025-11-26,ROOFING,Roofing Project,ROOFING at 4872 Franklin Pike,4872 Franklin Pike,Nashville,37208,Miller Construction,Cumberland Construction Co,N/A,70617,PENDING,20
NSH251010039,2025-10-31,DEMOLITION,Demolition Project,DEMOLITION at 1936 Hillsboro Pike,1936 Hillsboro Pike,Nashville,37201,Martinez LLC,East Nashville Construction,N/A,81367,PENDING,2
NSH251110040,2025-11-09,DEMOLITION,Demolition Project,DEMOLITION at 8962 Murfreesboro Pike,8962 Murfreesboro Pike,Nashville,37209,Brown Holdings,Tennessee Premier Builders,(615) 603-9836,68607,FINAL,3
NSH251110041,2025-11-19,DEMOLITION,Demolition Project,DEMOLITION at 7600 Nolensville Pike,7600 Nolensville Pike,Nashville,37201,Johnson Properties,Brentwood Builders Inc,(615) 216-5419,63430,ISSUED,1
NSH251110042,2025-11-04,MECHANICAL,Mechanical Project,MECHANICAL at 6393 Dickerson Pike,6393 Dickerson Pike,Nashville,37203,Martinez LLC,Music City Construction,(615) 437-9969,23251,ISSUED,22
NSH251110043,2025-11-03,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 3137 Hillsboro Pike,3137 Hillsboro Pike,Nashville,37208,Martinez LLC,Nashville Builders LLC,(615) 933-2273,1227239,ISSUED,21
NSH251110044,2025-11-15,MECHANICAL,Mechanical Project,MECHANICAL at 337 21st Ave,337 21st Ave,Nashville,37211,Thomas Enterprises,N/A,(615) 823-9001,13024,ISSUED,2
NSH251110045,2025-11-21,RESIDENTIAL,Residential Project,RESIDENTIAL at 4736 Woodland St,4736 Woodland St,Nashville,37208,Miller Construction,East Nashville Construction,(615) 391-8975,53287,FINAL,34
NSH251010046,2025-10-30,REPAIR,Repair Project,REPAIR at 860 Lebanon Pike,860 Lebanon Pike,Nashville,37208,Thomas Enterprises,Green Hills Builders,N/A,58660,PENDING,34
NSH251110047,2025-11-25,DEMOLITION,Demolition Project,DEMOLITION at 201 Broadway,201 Broadway,Nashville,37203,Davis Investments,N/A,N/A,96571,ISSUED,6
NSH251110048,2025-11-18,ALTERATION,Alteration Project,ALTERATION at 5875 Murfreesboro Pike,5875 Murfreesboro Pike,Nashville,37201,Wilson Properties,Green Hills Builders,(615) 260-8543,70316,APPROVED,21
NSH251110049,2025-11-20,RESIDENTIAL,Residential Project,RESIDENTIAL at 9238 West End Ave,9238 West End Ave,Nashville,37215,Brown Holdings,Tennessee Premier Builders,N/A,27106,ISSUED,33
NSH251010050,2025-10-30,COMMERCIAL,Commercial Project,COMMERCIAL at 4256 Charlotte Ave,4256 Charlotte Ave,Nashville,37203,Anderson Group,Nashville Home Improvement,N/A,1965634,ISSUED,35
NSH251010051,2025-10-31,ALTERATION,Alteration Project,ALTERATION at 6945 Lebanon Pike,6945 Lebanon Pike,Nashville,37205,Thomas Enterprises,Tennessee Premier Builders,N/A,76860,PENDING,1
NSH251110052,2025-11-23,ELECTRICAL,Electrical Project,ELECTRICAL at 2425 Murfreesboro Pike,2425 Murfreesboro Pike,Nashville,37212,Martinez LLC,Franklin Construction,(615) 236-5363,70385,ISSUED,21
NSH251110053,2025-11-01,ADDITION,Addition Project,ADDITION at 3636 Woodland St,3636 Woodland St,Nashville,37208,Martinez LLC,Cumberland Construction Co,(615) 777-5243,418561,FINAL,33
NSH251110054,2025-11-08,MECHANICAL,Mechanical Project,MECHANICAL at 7060 Dickerson Pike,7060 Dickerson Pike,Nashville,37208,Johnson Properties,Nashville Builders LLC,(615) 804-8310,59652,APPROVED,21
NSH251110055,2025-11-26,DEMOLITION,Demolition Project,DEMOLITION at 9816 Hillsboro Pike,9816 Hillsboro Pike,Nashville,37208,Thomas Enterprises,Green Hills Builders,N/A,99755,PENDING,3
NSH251110056,2025-11-12,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 5115 21st Ave,5115 21st Ave,Nashville,37208,Johnson Properties,N/A,(615) 821-4201,1989204,FINAL,6
NSH251110057,2025-11-03,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 3673 Murfreesboro Pike,3673 Murfreesboro Pike,Nashville,37211,Smith Development LLC,Nashville Home Improvement,(615) 296-9309,1106993,APPROVED,35
NSH251110058,2025-11-10,COMMERCIAL,Commercial Project,COMMERCIAL at 6854 West End Ave,6854 West End Ave,Nashville,37206,Brown Holdings,N/A,(615) 603-4273,1691019,FINAL,20
NSH251110059,2025-11-04,ELECTRICAL,Electrical Project,ELECTRICAL at 876 Lebanon Pike,876 Lebanon Pike,Nashville,37203,Johnson Properties,Tennessee Premier Builders,N/A,16058,PENDING,35
NSH251110060,2025-11-19,ELECTRICAL,Electrical Project,ELECTRICAL at 6061 Broadway,6061 Broadway,Nashville,37212,Smith Development LLC,Nashville Builders LLC,(615) 325-6443,9439,ISSUED,35
NSH251110061,2025-11-25,COMMERCIAL,Commercial Project,COMMERCIAL at 3128 West End Ave,3128 West End Ave,Nashville,37215,Martinez LLC,Cumberland Construction Co,(615) 559-8740,934127,PENDING,21
NSH251110062,2025-11-12,PLUMBING,Plumbing Project,PLUMBING at 9755 Franklin Pike,9755 Franklin Pike,Nashville,37208,Miller Construction,N/A,N/A,89498,APPROVED,4
NSH251110063,2025-11-05,REPAIR,Repair Project,REPAIR at 3137 21st Ave,3137 21st Ave,Nashville,37204,Wilson Properties,N/A,(615) 916-6397,90392,APPROVED,19
NSH251110064,2025-11-21,ALTERATION,Alteration Project,ALTERATION at 4761 Dickerson Pike,4761 Dickerson Pike,Nashville,37215,Anderson Group,N/A,N/A,53992,APPROVED,2
NSH251110065,2025-11-07,MECHANICAL,Mechanical Project,MECHANICAL at 3099 West End Ave,3099 West End Ave,Nashville,37204,Smith Development LLC,N/A,(615) 872-4282,48948,FINAL,20
NSH251110066,2025-11-23,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 3815 Lebanon Pike,3815 Lebanon Pike,Nashville,37206,Anderson Group,Volunteer State Contractors,(615) 852-8436,203095,ISSUED,7
NSH251110067,2025-11-07,REPAIR,Repair Project,REPAIR at 3202 Franklin Pike,3202 Franklin Pike,Nashville,37211,Anderson Group,Nashville Builders LLC,(615) 215-1444,26117,APPROVED,19
NSH251110068,2025-11-02,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 547 Charlotte Ave,547 Charlotte Ave,Nashville,37209,Thomas Enterprises,Franklin Construction,N/A,1842163,APPROVED,35
NSH251110069,2025-11-06,ROOFING,Roofing Project,ROOFING at 3033 Nolensville Pike,3033 Nolensville Pike,Nashville,37208,Brown Holdings,East Nashville Construction,(615) 340-6495,65104,ISSUED,7
NSH251110070,2025-11-27,DEMOLITION,Demolition Project,DEMOLITION at 3887 Franklin Pike,3887 Franklin Pike,Nashville,37205,Martinez LLC,Brentwood Builders Inc,(615) 761-8820,20926,PENDING,7
NSH251110071,2025-11-15,REMODEL,Remodel Project,REMODEL at 2436 Broadway,2436 Broadway,Nashville,37211,Thomas Enterprises,N/A,(615) 929-1081,284767,ISSUED,5
NSH251110072,2025-11-17,ROOFING,Roofing Project,ROOFING at 8940 21st Ave,8940 21st Ave,Nashville,37201,Brown Holdings,Cumberland Construction Co,(615) 239-2160,36798,ISSUED,34
NSH251110073,2025-11-26,ALTERATION,Alteration Project,ALTERATION at 9077 Murfreesboro Pike,9077 Murfreesboro Pike,Nashville,37211,Johnson Properties,N/A,(615) 655-7231,97530,APPROVED,21
NSH251010074,2025-10-29,ROOFING,Roofing Project,ROOFING at 2982 Broadway,2982 Broadway,Nashville,37206,Thomas Enterprises,Nashville Home Improvement,(615) 779-5438,11741,PENDING,34
NSH251110075,2025-11-06,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 989 West End Ave,989 West End Ave,Nashville,37215,Wilson Properties,Volunteer State Contractors,N/A,775750,PENDING,22
NSH251110076,2025-11-06,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 7949 Broadway,7949 Broadway,Nashville,37201,Wilson Properties,Cumberland Construction Co,N/A,882235,PENDING,5
NSH251110077,2025-11-21,ROOFING,Roofing Project,ROOFING at 6254 Lebanon Pike,6254 Lebanon Pike,Nashville,37209,Davis Investments,Cumberland Construction Co,N/A,53778,APPROVED,22
NSH251110078,2025-11-08,ADDITION,Addition Project,ADDITION at 5805 Nolensville Pike,5805 Nolensville Pike,Nashville,37205,Williams Ventures,Brentwood Builders Inc,N/A,362007,PENDING,19
NSH251110079,2025-11-01,COMMERCIAL,Commercial Project,COMMERCIAL at 8580 West End Ave,8580 West End Ave,Nashville,37201,Martinez LLC,East Nashville Construction,(615) 341-8718,879269,APPROVED,21
NSH251110080,2025-11-15,REPAIR,Repair Project,REPAIR at 6553 Hillsboro Pike,6553 Hillsboro Pike,Nashville,37211,Brown Holdings,N/A,(615) 336-6521,15228,PENDING,7
NSH251110081,2025-11-23,PLUMBING,Plumbing Project,PLUMBING at 5538 21st Ave,5538 21st Ave,Nashville,37205,Smith Development LLC,Tennessee Premier Builders,N/A,58018,APPROVED,4
NSH251110082,2025-11-24,REPAIR,Repair Project,REPAIR at 1429 Lebanon Pike,1429 Lebanon Pike,Nashville,37204,Williams Ventures,Nashville Builders LLC,N/A,63626,ISSUED,34
NSH251110083,2025-11-06,ALTERATION,Alteration Project,ALTERATION at 9453 21st Ave,9453 21st Ave,Nashville,37203,Martinez LLC,Cumberland Construction Co,(615) 559-1698,55461,APPROVED,4
NSH251110084,2025-11-07,RESIDENTIAL,Residential Project,RESIDENTIAL at 9747 Charlotte Ave,9747 Charlotte Ave,Nashville,37215,Brown Holdings,Franklin Construction,(615) 976-5221,37793,PENDING,35
NSH251110085,2025-11-20,ADDITION,Addition Project,ADDITION at 3640 Franklin Pike,3640 Franklin Pike,Nashville,37211,Anderson Group,Volunteer State Contractors,(615) 690-9312,492515,ISSUED,34
NSH251110086,2025-11-21,COMMERCIAL,Commercial Project,COMMERCIAL at 1453 Church St,1453 Church St,Nashville,37215,Smith Development LLC,N/A,N/A,261884,ISSUED,6
NSH251110087,2025-11-04,MECHANICAL,Mechanical Project,MECHANICAL at 1196 21st Ave,1196 21st Ave,Nashville,37205,Davis Investments,Music City Construction,(615) 771-3130,70383,PENDING,1
NSH251110088,2025-11-05,DEMOLITION,Demolition Project,DEMOLITION at 2644 West End Ave,2644 West End Ave,Nashville,37208,Miller Construction,Cumberland Construction Co,(615) 695-9008,37684,ISSUED,35
NSH251010089,2025-10-29,RESIDENTIAL,Residential Project,RESIDENTIAL at 2967 Woodland St,2967 Woodland St,Nashville,37211,Wilson Properties,Nashville Home Improvement,(615) 490-6307,54932,PENDING,22
NSH251110090,2025-11-18,ROOFING,Roofing Project,ROOFING at 4259 Nolensville Pike,4259 Nolensville Pike,Nashville,37204,Brown Holdings,East Nashville Construction,N/A,99424,APPROVED,5
NSH251110091,2025-11-28,PLUMBING,Plumbing Project,PLUMBING at 2702 Woodland St,2702 Woodland St,Nashville,37205,Smith Development LLC,N/A,(615) 533-7232,87534,FINAL,4
NSH251110092,2025-11-03,COMMERCIAL,Commercial Project,COMMERCIAL at 7896 Nolensville Pike,7896 Nolensville Pike,Nashville,37208,Martinez LLC,Green Hills Builders,N/A,1242567,PENDING,7
NSH251010093,2025-10-29,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 9091 West End Ave,9091 West End Ave,Nashville,37206,Martinez LLC,N/A,(615) 255-9908,1261296,PENDING,21
NSH251110094,2025-11-25,ROOFING,Roofing Project,ROOFING at 4198 Murfreesboro Pike,4198 Murfreesboro Pike,Nashville,37212,Smith Development LLC,Music City Construction,(615) 373-7162,34407,APPROVED,2
NSH251110095,2025-11-14,RESIDENTIAL,Residential Project,RESIDENTIAL at 7596 Woodland St,7596 Woodland St,Nashville,37209,Wilson Properties,Nashville Builders LLC,(615) 817-5394,27991,ISSUED,4
NSH251110096,2025-11-18,DEMOLITION,Demolition Project,DEMOLITION at 5030 21st Ave,5030 21st Ave,Nashville,37205,Thomas Enterprises,Green Hills Builders,(615) 627-5593,8349,PENDING,3
NSH251110097,2025-11-22,ALTERATION,Alteration Project,ALTERATION at 6324 Hillsboro Pike,6324 Hillsboro Pike,Nashville,37201,Williams Ventures,East Nashville Construction,(615) 927-8242,90871,APPROVED,20
NSH251110098,2025-11-08,MECHANICAL,Mechanical Project,MECHANICAL at 181 Church St,181 Church St,Nashville,37215,Anderson Group,N/A,(615) 575-3640,52746,ISSUED,5
NSH251110099,2025-11-01,MECHANICAL,Mechanical Project,MECHANICAL at 9232 21st Ave,9232 21st Ave,Nashville,37208,Martinez LLC,N/A,(615) 585-6557,57929,FINAL,3
NSH251110100,2025-11-07,REPAIR,Repair Project,REPAIR at 2453 Broadway,2453 Broadway,Nashville,37204,Williams Ventures,East Nashville Construction,(615) 744-4294,10548,FINAL,5
NSH251110101,2025-11-24,REMODEL,Remodel Project,REMODEL at 4476 21st Ave,4476 21st Ave,Nashville,37205,Miller Construction,East Nashville Construction,(615) 502-8994,122187,FINAL,6
NSH251110102,2025-11-16,PLUMBING,Plumbing Project,PLUMBING at 7934 Murfreesboro Pike,7934 Murfreesboro Pike,Nashville,37205,Johnson Properties,Franklin Construction,(615) 940-9547,64714,ISSUED,5
NSH251110103,2025-11-13,ADDITION,Addition Project,ADDITION at 2564 Hillsboro Pike,2564 Hillsboro Pike,Nashville,37208,Martinez LLC,N/A,(615) 610-2366,439056,PENDING,4
NSH251010104,2025-10-29,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 5933 Hillsboro Pike,5933 Hillsboro Pike,Nashville,37215,Martinez LLC,Volunteer State Contractors,(615) 779-1408,579955,FINAL,3
NSH251110105,2025-11-18,REMODEL,Remodel Project,REMODEL at 6333 Broadway,6333 Broadway,Nashville,37206,Williams Ventures,Nashville Builders LLC,N/A,112335,PENDING,3
NSH251110106,2025-11-19,ADDITION,Addition Project,ADDITION at 1819 Lebanon Pike,1819 Lebanon Pike,Nashville,37208,Wilson Properties,N/A,(615) 521-7765,322482,PENDING,21
NSH251110107,2025-11-17,ROOFING,Roofing Project,ROOFING at 3525 Nolensville Pike,3525 Nolensville Pike,Nashville,37209,Miller Construction,Brentwood Builders Inc,(615) 484-1585,9505,APPROVED,20
NSH251110108,2025-11-11,PLUMBING,Plumbing Project,PLUMBING at 3915 Lebanon Pike,3915 Lebanon Pike,Nashville,37211,Thomas Enterprises,Volunteer State Contractors,N/A,11452,PENDING,5
NSH251110109,2025-11-20,DEMOLITION,Demolition Project,DEMOLITION at 1514 Nolensville Pike,1514 Nolensville Pike,Nashville,37203,Smith Development LLC,Volunteer State Contractors,(615) 621-3159,73250,ISSUED,33
NSH251110110,2025-11-01,PLUMBING,Plumbing Project,PLUMBING at 5608 Charlotte Ave,5608 Charlotte Ave,Nashville,37209,Martinez LLC,East Nashville Construction,(615) 366-7189,37088,PENDING,34
NSH251110111,2025-11-19,ADDITION,Addition Project,ADDITION at 3195 Woodland St,3195 Woodland St,Nashville,37205,Miller Construction,Nashville Home Improvement,(615) 891-4205,465049,FINAL,1
NSH251110112,2025-11-21,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 6325 Dickerson Pike,6325 Dickerson Pike,Nashville,37209,Brown Holdings,Franklin Construction,N/A,1729269,FINAL,2
NSH251110113,2025-11-09,PLUMBING,Plumbing Project,PLUMBING at 5961 21st Ave,5961 21st Ave,Nashville,37205,Wilson Properties,N/A,(615) 891-2950,81071,FINAL,3
NSH251110114,2025-11-09,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 7494 Charlotte Ave,7494 Charlotte Ave,Nashville,37205,Johnson Properties,Nashville Home Improvement,N/A,1463382,PENDING,22
NSH251110115,2025-11-09,PLUMBING,Plumbing Project,PLUMBING at 978 Murfreesboro Pike,978 Murfreesboro Pike,Nashville,37215,Brown Holdings,N/A,(615) 473-2302,95962,FINAL,2
NSH251110116,2025-11-19,RESIDENTIAL,Residential Project,RESIDENTIAL at 2458 Murfreesboro Pike,2458 Murfreesboro Pike,Nashville,37206,Williams Ventures,N/A,(615) 212-5107,53388,ISSUED,20
NSH251110117,2025-11-18,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 8614 Franklin Pike,8614 Franklin Pike,Nashville,37205,Smith Development LLC,East Nashville Construction,(615) 861-5584,1271826,FINAL,33
NSH251110118,2025-11-07,MECHANICAL,Mechanical Project,MECHANICAL at 4921 Woodland St,4921 Woodland St,Nashville,37208,Davis Investments,Cumberland Construction Co,(615) 435-7133,85426,PENDING,20
NSH251110119,2025-11-16,ELECTRICAL,Electrical Project,ELECTRICAL at 5017 Nolensville Pike,5017 Nolensville Pike,Nashville,37206,Brown Holdings,N/A,(615) 491-1713,12661,ISSUED,33
NSH251110120,2025-11-13,MECHANICAL,Mechanical Project,MECHANICAL at 4030 21st Ave,4030 21st Ave,Nashville,37208,Brown Holdings,Tennessee Premier Builders,(615) 441-1366,75510,ISSUED,33
NSH251110121,2025-11-21,PLUMBING,Plumbing Project,PLUMBING at 3820 Lebanon Pike,3820 Lebanon Pike,Nashville,37204,Smith Development LLC,Franklin Construction,N/A,38948,FINAL,22
NSH251110122,2025-11-07,PLUMBING,Plumbing Project,PLUMBING at 5928 Broadway,5928 Broadway,Nashville,37211,Thomas Enterprises,Franklin Construction,(615) 291-2774,85769,ISSUED,2
NSH251110123,2025-11-27,REMODEL,Remodel Project,REMODEL at 3535 Lebanon Pike,3535 Lebanon Pike,Nashville,37208,Miller Construction,Franklin Construction,N/A,323092,PENDING,33
NSH251110124,2025-11-10,ROOFING,Roofing Project,ROOFING at 3478 Charlotte Ave,3478 Charlotte Ave,Nashville,37208,Thomas Enterprises,Volunteer State Contractors,(615) 992-7439,55938,FINAL,20
NSH251110125,2025-11-24,ROOFING,Roofing Project,ROOFING at 2783 21st Ave,2783 21st Ave,Nashville,37203,Brown Holdings,N/A,(615) 830-7318,68465,APPROVED,3
NSH251110126,2025-11-24,REMODEL,Remodel Project,REMODEL at 3519 Hillsboro Pike,3519 Hillsboro Pike,Nashville,37203,Davis Investments,Cumberland Construction Co,N/A,334696,APPROVED,19
NSH251110127,2025-11-23,REMODEL,Remodel Project,REMODEL at 6087 Charlotte Ave,6087 Charlotte Ave,Nashville,37215,Wilson Properties,East Nashville Construction,N/A,165480,ISSUED,20
NSH251010128,2025-10-29,ELECTRICAL,Electrical Project,ELECTRICAL at 6488 Charlotte Ave,6488 Charlotte Ave,Nashville,37201,Williams Ventures,Music City Construction,(615) 728-7146,49504,APPROVED,33
NSH251110129,2025-11-27,DEMOLITION,Demolition Project,DEMOLITION at 159 Lebanon Pike,159 Lebanon Pike,Nashville,37203,Thomas Enterprises,Volunteer State Contractors,(615) 245-4776,74949,ISSUED,2
NSH251110130,2025-11-16,REPAIR,Repair Project,REPAIR at 4449 West End Ave,4449 West End Ave,Nashville,37215,Williams Ventures,N/A,N/A,16634,ISSUED,35
NSH251110131,2025-11-25,ADDITION,Addition Project,ADDITION at 189 Hillsboro Pike,189 Hillsboro Pike,Nashville,37203,Anderson Group,Nashville Home Improvement,(615) 378-6019,166325,ISSUED,35
NSH251110132,2025-11-27,ALTERATION,Alteration Project,ALTERATION at 5494 Charlotte Ave,5494 Charlotte Ave,Nashville,37211,Thomas Enterprises,Brentwood Builders Inc,(615) 622-5847,66910,ISSUED,21
NSH251110133,2025-11-22,RESIDENTIAL,Residential Project,RESIDENTIAL at 3550 Charlotte Ave,3550 Charlotte Ave,Nashville,37211,Smith Development LLC,N/A,N/A,51758,ISSUED,1
NSH251110134,2025-11-03,RESIDENTIAL,Residential Project,RESIDENTIAL at 8037 Charlotte Ave,8037 Charlotte Ave,Nashville,37215,Williams Ventures,Brentwood Builders Inc,(615) 355-9411,84543,ISSUED,2
